খোলা চোখে আঁকি মুক্ত ঢেউয়ের স্বপ্নের ছবি  
চাঁদের নীরব আলোয় ভাসে মনোরম তরল নদী  
দূরের সবুজ প্রান্তরে ছুটে যায় গোলাপি রঙ বুকের  
আকাশবাঁধার মৃদু গান শুনে বাজে হৃদয়মন্ত্র মুহূর্তের কব্য  

স্বপ্ন জাগে রাতে নীরবতার গভীর বৃত্তে কণ্ঠে অচেনা  
নিভে যাওয়া তারা পুরোনো মনের সুরে অলক্ষ উৎসবে  
একা চলার শিকার করি অদেখা অনামিকা পথে নিশ্চল  
আলোর ঠিকানা জোগায় ভাসমান ভাবনা তন্ত্র অন্তহীন প্রেরণা  

স্বপ্নে আমি বাঁধি সাদা গোলাপের মালা কুটিল কল্পনায়  
স্বপ্ন চিরকাল ঘুরে বেড়ায় অব্যক্ত আশা বান্ধবী সুমনে  
মন খোঁজে পরাণের গভীর অজানা ঝিলিক ছায়ায় আঁধার  
স্বপ্নের বীণায় বাজে লহরী অনন্ত ভোরে নীরব সংগীত  

স্বপ্ন নয় শুধুই ফাঁকি দেয় মানস পটলে অনাবিল  
স্বপ্ন হবে দিশা দীপ জ্বালায় অন্ধকারে নিত্য প্রভাতে  
স্বপ্ন ছুঁয়ে যায় অদৃশ্য ঢেউয়ে হৃদয়তটে স্বপ্নলোকে প্রশান্তি  
স্বপ্নবাণী কণা হয়ে ভরে মনের দোলা নিষ্পাপ প্রহর  

স্বপ্নবাজ অনুভবে ভাসে পায়ে অচেনা ধুলো নিশ্চির আহ্বান  
স্বপ্ন মুঠোয় গুছিয়ে রাখি স্বচ্ছ স্রোতে মনোনয়ন অর্ক  
সব স্বপ্ন মিলে গড়ে তুলে নতুন আশা বিরহহীন  
স্বপ্ননদী বহে নির্দয় সোনালী দুপুরে স্বকীয় রূপে অস্ত  

সন্ধ্যায় স্বপ্নে জ্বলে অগ্নি স্বপ্নের দীপক অগাধ তাপে  
রাত জুড়ে স্বপ্নেরা নৃত্য করে ওড়ে শূন্যতম স্থলে  
কখনো স্বপ্নের ছায়ায় বাজে দূরবীণ অচেতন বার্তা আয়নায়  
অথবা ছুঁয়ে যায় হঠাৎ বহ্নি হারালের অপরে প্রেরণা  

স্বপ্ন হয়ে যায় পথে একলা ধূসর কারাভাগ অপেক্ষায়  
স্মৃতির ভাস্কর্যে গড়া অশ্রুজলিত বিরহগীতি অম্লান লহরী বিস্ময়ে  
স্বপ্নে ভরে যায় আশা অক্ষয় অমর স্বতঃ প্রতিমা  
স্বপ্নপথিক আটকায় নির্জন হাসির দোলায় অত্যাশা বেণুতে নূপুরে  

স্বপ্নের ছায়ালে জাগে নীলিমার শেষ আঁচ অপশম স্বপ্নে  
বিরহের জলে ভাসে মিশে অবিরাম হাহাকার অমোঘ নীরবীতে  
স্বপ্নালয়ে বেঁচে থাকা ক্ষণিক অমৃতধারা সঞ্চার অপরাজেয় স্বপ্নে  
অন্তহীন আকুলতা জাগে বেদনা দৃষিতে চঞ্চল অভাল সময়ে  

স্বপ্ন বোনা তরুণীর আঁচলে আমন্ত্রণ আহ্লাদে জাগায় প্রেরণা  
প্রতিটি স্বপ্নে বাজে জীবনের নব জোড়া জোয়ারের ধ্বনি  
স্বপ্নের ছবিতে আঁকা সুখের চিত্রনাট্য অকাল নিষ্ঠ নিবৃত  
স্বপ্ন আঁচলে জড়িয়ে রাখি অনন্ত জ্যোৎস্না সৌম্য স্বর্ণালী  

স্বপ্নই যেন জীবনের নিরব ধ্রুবতারা অমোঘ দীপে জ্বলে  
স্বপ্নই হয়ে যায় বুকের গহিন গান অঘোষিত উন্মেষ  
স্বপ্নের আলোয় নিক্ষিপ্ত অচেনা পথচলা যজ্ঞে বিশাল বেদীতে  
স্বপ্নবীণে বাজে প্রেমের গোপন সরগম অলৌকিক অনুভব জীবনে  

হয়তো স্বপ্ন নয় ফেলে যাওয়া অচেতন আশা অস্পষ্ট  
হয়তো স্বপ্নে বাঁচি অমলিন এষণা অন্তরে দগ্ধ জ্বলায়  
স্বপ্নহাতে আঁকি জীবনের নতুন গন্তব্য অনুসন্ধান করায় উদ্যোগ  
শেষরেখায় স্বপ্ন রেখে যাই আগামীর পথে ভালোবাসা মালায়
