নীরব সোনালি সন্ধ্যার আঁচলে আমি তোমায় চেয়ে থাকি অস্থির হৃদয়ে  
বাতাসের কোলে ভাসে তোমার কোমল স্বপ্নের সুগন্ধ মোর ছায়ায় মধুর  
চাঁদের হালকা আলোয় জাগে মনে অদ্ভুত এক ভালোলাগা মূর্ছনায় নিভৃত  
প্রতিটি স্পর্শে তুমি হয়ে যাও আমার অন্তরের অমলিন সুর নীরব  
তোমার হাসি যেন ফুলেদের অমৃতসুধা ভাসিয়ে দেয় প্রাণে অন্তরে উড়তি  
লয়ে মোর নীরব সে গান, ঘুমন্ত নিশায় মিশে যায় অশেষে  

তোমার চোখের গভীরে আমি দেখি অগণিত রুপকথার ছবি মৃদু মায়ায়  
বুকে দোলে হৃদয়ের বাঁশি, বাজে তোমার নামে প্রেমের সুর অশেষে  
তুমি ছোঁয়া দিলে শ্বসনে, ফুটে উঠে শরীরে জীবন সোনালী লালিত  
সময় স্তব্ধ হয়ে যায়, যখন তোমার শব্দ হয় আমার কবিতা  
হৃদয়ে মুদ্রিত প্রতিটি ছোঁয়া হয়ে ওঠে চিরন্তন অলঙ্কার মাধুরী থেকে  
প্রেমের এই রাস্তা উজাড় করে দেয় সময়ের সব বাঁধা মুক্তি  

বৃষ্টির ফোঁটায় খেলায় সেই তোমার মিষ্টি হাসির প্রতিধ্বনি সুরে মিশে  
শীতল বাতাসে আমি বাঁধি তোমার লাল লিপসের রেখা স্নিগ্ধ স্বপ্নে  
মোর ভালোলাগা জেগে ওঠে সমুদ্রের ঢেউয়ে, ভেঙে যায় নীরবতা অন্তহীন  
নদীর শান্ত স্রোতে গুটিয়ে আনি তোমার চোখের ঐ মায়া মধুময়  
লাজুক রবনে যখন ছড়ায় তোমার গায়ের সুগন্ধ, হোক একাত্তর মধু  
ভালোবাসার ইচ্ছায় করছি হৃদয় যত্নে গাঁথা প্রার্থনা নিরবধি রেখে যাও  

স্বপ্নের আকাশে তুমি আমার নিঃশেষ চিরসবুজ তারা জ্বলতে থাকো সঙ্গী  
দিনশেষের আলোয় আমি মিশি তোমার অকপট হাসির দীপে নিভে যাও  
সময়ের খাঁচায় বন্দি করে রাখি তোমার প্রতিটি নরম স্পর্শ নীরব স্মৃতি  
তোমার পালকি হয়ে আমি ভ্রমণ করি অনন্ত ভালোবাসার দেশে নিশ্চলে  
আকাশ-তরুর নীড়ে বাজে তোমার নামের অমলিন গীত নিয়ানিতে শোভিত  
হোক আমাদের ভালোবাসা হয়ে উঠুক জীবনের মধুর সূতিকা অমলিন সুরে  

তোমায় পেলেই হয় স্বর্গের দরজা খোলা, হৃদয় নীলাভ আলোয় জ্বলজ্বল  
তোমার স্পর্শে মোর সত্তা পেতে চায় অনবদ্য পূর্ণতা নিয়ে অনাবিল  
ভরা জীবনের প্রতিটি পথে লিখে রাখি তোমার নামের ছাপ অক্ষরে  
আবেগের বনে গড়ি আমরা একে অপরের অমলিন ঘর স্বপ্নারোপে শোভিত  
বাঁধন ছিন্ন করে ছেড়ে দাও মোর ক্লান্ত প্রাণের দোলা বিমল  
শেষ হলে এই জীবন, চিরদিন আমি আছি তোমার ভালোবাসায় অমলিন  

নির্জন রাতের পাড়ে হাত ধরে হেঁটে যাই স্বপ্নের দরিয়ায় নিভৃতে  
সময়ের ছন্দে বাজে তোমার হাসি, মনের অন্ধকারে আলো ছড়ায় মঞ্চে  
ভালোবাসার মন্ত্র মাথায় রাখি, বিকেলে ভেসে যায় দুঃখ সব নিবৃতে  
চিরকাল তুমি আমার, এ বিলাসী স্বপ্নের অবিরাম গান অমলিন সুরে
