অরণ্যের প্রান্তে গোধূলির আলো জ্বেলে আশা জাগায় দোলা সুর বাজে হৃদয়ে  
পাতার ফাঁকে ফাঁকে মোহময় পাখিরা মিশিয়ে দেয় গান অচেনা সুরে নবজীবন মাঝে  
নদীর কলতানে মিশে যায় মুগ্ধতা, হারিয়ে যায় সব ব্যথা বা মনকের্তা  
সূর্যোদয়ের বরণে ধীরে ধীরে উঠে অদৃশ্যের আঁধার-সীমা ভেঙে নতুন ছবি আবির্ভূত হয়  
জন্মায় অজপাথরে আশা যেমন ভেসে আসে তরঙ্গিত হৃদয়ের অতল কোণে নতুন  
পথিকের চোখে ঝরঝরে জল স্বপ্নের বৃত্তে বাঁধে সাহিত্যপুরী রচনায় অন্তরালে আবির আঁকে  
ঘুমন্ত ডালপালায় লুকিয়ে আছে অশ্রুজলমিশ্রিত মায়া কান্নায় সতর্ক মন দলিয়েছে সব আলো  
বসন্তের বুকে জেগে উঠে সোনালি শিরা ছড়ায় ফুলের তাজা হাসি ঐন্দ্রজালিক কম্পন  
শুকনো মাটিতে শিউরে ওঠে দৃঢ় প্রত্যয়ের বীজ, ফুটে ওঠে আলোচিত্র নব জন্মের  
আকাশের কোলে শ্যামল রঙের স্বপ্ন মিশে যায় বিরহের গানে হৃদয়ে ধরা কষ্টময়  
বিকেলের আড়ালে লুকোনো বিষাদের অম্লান রঙ মানে ক্ষণিকের মুক্তি দূরে যাওয়ার ইচ্ছা  
দূর একান্তে ভেসে আসে অচেনা হৃদয়স্পন্দন, খুঁজি পথের ঠিকানা অনুভবে ভরা শব্দদলিতে  
হাওয়ার ঢেউ খেলায় মিশে যায় দোলা ডালে দোলা ডালে উপহার সময়ের অনির্দিষ্ট  
ক্ষয়িষ্ণু প্রাচীর ছোঁয়ায় আঘাত করে নীরব অকালবাধা স্মৃতি চেনা মনোচক্ষে কষ্ট জাগায়  
সোনালি সন্ধ্যার মূর্ছনায় নীল রোদন বাঁধে দিগন্তে অমলিন আকাঙ্ক্ষা অদম্য উদাসীনা আবেশে  
তুষারমাখা পর্বতের মতো উত্তরে থাকে অবিরাম আশা-প্রতীক্ষা অচঞ্চল মননশীল নীরব জানি কিছুই  
সেতুর বাঁশির সুর কানে আঘাত করে ক্ষণিকের বিক্রম পাখির উত্থান অভিশাপ মিশিয়ে  
শহরের রূপালি ধোঁয়ায় ঢাকা পড়ে কবির অমলিন চিত্ররেখা উদাস স্পৃৃহাহীন জ্যোৎস্নায় ভেসে  
আলো আর ছায়ার খেলা লুকিয়ে রাখে অচেনা গল্পের অমিওধারা স্মৃতিমাঝে ঝরে জীবনের  
গলির কোণে একদিন খুঁজে পেতাম অমলিন অশ্রু-মুখর স্মৃতি প্রেক্ষাপট জীবনচক্রে গায় নূপুর  
নদীর দুই তীরে গড়ি স্বপ্ন, বাঁশি বাজে নিরবতায় ঢেকে অনির্বন্ধ মুক্ত আলোকে  
