আহ্‌ বলতে পাই স্বদেশের মুখ নির্মল আলোর মায়াবী  
অবন্ধ্য ক্ষুধা তৃষ্ণা মেটে ভালোবাসার নীরব অমল গান  
প্রিয় মুক্তির স্বপ্ন ভরে ওঠে হৃদয়ের সোনালী নিঃশ্বাসে  
পাহাড়-নদী জমির স্পর্শে জাগে প্রজ্বলিত প্রাণের অটল অঙ্গীকার  
তুমি মায়ের আঁচলে বাঁধা অমলিন স্মৃতির রেখা বহায়  
শহীদদের রক্তের ছোঁয়া জলে বাঁধে লাল লেন জ্বলজ্বলে  
বিজয়ের ডানায় বেড়ে ওঠে পরিপূর্ণ নবীন আশা-চেতনার ফুলবনে  
বাতাসে দোলা দেয় স্বাধীনতার অপরূপ মধুর সুরেলা সঙ্গীত  
প্রভাতের রৌদ্রোজ্জ্বল আলোর বিকিরণে জাগে নিষ্পাপ শুদ্ধ হৃদয়  
একতাবদ্ধ জনতার অদম্য পদযাত্রা অবিরত পাথেয় অটল রেখা  

ভাষার সাগরে ভাসে আমাদের জ্বলন্ত অহংকারের চিরস্থায়ী দীপ্তি  
মায়ের মুখে শুনেছি যুদ্ধে জাগ্রত বীরের অম্লান কথন  
প্রাচীরের আঁকশিতে আঁকা জয়লাভের অমলিন অতীত গল্প ধাপে  
ছবিতে ফুটে ওঠে স্বাধীনতার মূল্যবান অমলয় রক্তদীর্ঘ নাইড়  
ভাষা আন্দোলনের শপথ আজ শুন্য বাতাসে করে প্রতিধ্বনি  
ঝাঁপিয়ে পড়ি স্মৃতির দ্বীপে বয়ে যায় নিরন্তর সংগ্রাম  
ভাষা-লিপির সুরে গড়া অক্ষরে বাজে অমর রাটা গান  
লাল-সবুজ বর্ণে আঁকা ভবিষ্যতের উজ্জ্বল স্বপ্ন খচিত ছবি  
হৃদয়ের প্রত্যাশায় জাগে নতুন দিনের মধুস্বর উন্মাদ ধ্বনি  
ভাষা-মাটি জীবনমুখী হয়ে মিলায় সকল প্রাণ অজস্র ছন্দে  

শহীদদের অমৃতবাণে মিশে আছে চিরন্তন অক্লান্ত সংগ্রাম ধারা  
গুলির শব্দে ভেসে যায় নবীন মৃত্যুঞ্জয় ধ্বনিময় প্রার্থনা  
তিতিক্ষায় তাদের জীবন ছিল বিদ্যমান অঙ্গীকারের অমল রাশি  
তাদের কণ্ঠস্বর আজও বলে স্বাধীনতার দাম সর্বাগ্রে অমুল্য  
মাঠে-ঘাটে পড়ে থাকা পতাকা দেয় আরেকবার প্রস্ফুটিত উদয়  
প্রতিটি বিন্দুতে বয়ে যাচ্ছে অদম্য সাহসের নির্ঝর স্রোত  
কাঁধে-গতায় রেখে যাওয়া তাদের তলোয়ারখানি অনিঃশেষ সাহস জাগায়  
গ্রামের বুকে ফুটা ফুলের মতো ফোটে স্বাধীনতার লালিমা  
শহুরে আলোয় হারিয়ে না যাক দেশপ্রেমের মৃদুমন্দ দীপাবলি  
সাহসী শহীদের দেখানো পথে অগ্রসর হবে আগামী নিশ্চয়  

পদ্মার স্রোতে বাঁধা আছে জীবন্ত ইতিহাসের অতল রহস্য  
শ্যামল মাঠে খেলে শিশুস্বপ্ন ফুটিয়ে তোলে নবীন গান  
গানের লয়ে মিশে যায় হাওয়ার সুর মৃদু কম্পিত  
বুনো বৃক্ষের ছায়ায় লুকানো গল্পে জমে অনন্ত মায়া  
আমের বাগানে রঙিন স্মৃতির ঝিলিক ছড়িয়ে যায় সরল  
দেশভূমির নির্মলতা পায় শিল্পীর অমলিন ছবিতে দ্যুতি খুঁট  
নদী-বিলেতে ভাসে সুরের ছন্দ প্রেমের অমোঘ বাঁধন হৃদয়  
এই মাটিতে জন্ম নেয় আশা সততা দয়া মিশে  
চার নদী ঢেউয়ের উচ্ছ্বাস প্রেরণার অমিল অমোঘ ব্যঞ্জনা  
মাটির গন্ধে জেগে উঠে চেতনায় আলোর নবীন হাসি  

তরুণ হৃদয়ের তালে গড়বে দেশপ্রেমের অমলিন নবীন স্বর্ণযুগ  
প্রজন্মের কণ্ঠে উচ্চারিত হবে বিজয়ের অমর স্বপ্ন গাথা  
স্কুলের ক্লাসরুমে লেখা থাকবে অটল অমল মুক্তির অঙ্গীকার  
ছাত্র-ছাত্রীদের চোখে ফুটে ওঠে জীবন্ত নতুন আলোড়নের উন্মেষ  
হাতে তুলে নেবে তারা পতাকা গড়বে ভবিষ্যত প্রতিশ্রুতি  
অক্ষরে অঙ্কিত কঠোর চিত্রায়ণে লেখবে মুক্তির নবীন কাব্য  
প্রেরণার সুঁওয়ায় ভরে যাবে তাদের প্রাণের অমল ডালি  
বিশ্বমঞ্চে মুক্তির সুর তালে ছড়িয়ে দেবে অমল চেতনা  
মুক্তির ধারাপথে তারা লিখবে অমল নতুন স্বপ্নময় অধ্যায়  
তরুণ-শক্তি জাগ্রত হবে দেশের অম্লান জয়গাথা দ্যুতি মিশে  

মা-মাটির কোলে এসো ফিরে নাও আঁচল ভরা আশা  
