প্রভাতে মেঘের কোলে অচেনা স্বপ্নের আলোর হাসি ছড়িয়ে যায় নীল নীরব কথা।  
নদীর বুকে সোনালী ঢেউয়ের নৃত্যে হারিয়ে যায় অনন্তের নিঃশব্দ আড়ালী জাগ্রত ঝলক।  
তুমি আসলে হয়ত আমার হৃদয়ের গভীরে রেখেছ সন্ধ্যার কিঞ্চিত চিহ্ন মধুর শব্দ।  
পাখিদের গান ভাসে স্মৃতিতে, ছুঁয়েছে তোমার নীরব স্পর্শের অমলিন ছায়া প্রেমের দৈবত্ব।  
আকাশের কোলে সঞ্চারিত আলোয় আমি খুঁজে পাই তোমার অদৃশ্য রূপকথা স্বপ্নীল পরশ।  
এই প্রান্তর পাড়ে বাজে মনোরম বেণুর অবুঝ আকুতি, হৃদয় খোঁজে দশা অচিরে।  

বর্ষার প্রথম ফোঁটায় জমে ওঠে অতীতের ভুলি-ঝরা গল্পের সুবাস নির্জন পাহাড়ি সুর।  
কাঁচা মাটিতে পায়ের ছাপ দোলা দিয়ে মেনে নেয় স্বপ্নের ভেজা ছোঁয়া নিমজ্জিত।  
বৃষ্টি নামলে ছেঁড়া ছাতার মধ্যে লুকিয়ে থাকে অজানা এই অন্তর নিভৃতে ছিনিমিনি।  
ঝরনা গর্ভে বাজে তোমার অচেনা গান, হৃদপিণ্ডে দোলা দেয় উৎসব কোলাহল ভোরের।  
চোখে জমা জলস্রোতের স্পর্শে স্মৃতি উঁকি দেয় অস্পষ্ট ভুবন অলীক জ্যোৎস্নার নৃত্য।  
এই ভেজা দিনরাতের মধ্যে গড়ে উঠেই যায় অগ্নিশিখার অবলীলায় অগ্নি তীব্র লয়।  

পথে চলার প্রতিটি ধাপে বোনা হয় অনুভূতির সূক্ষ্ম বুনোন কুহেলিকা ঝলমলে উদ্দাম।  
ছায়াগুলো পিছু টেনে নিয়ে যায় অজস্র প্রশ্নের ক্যানভাসে আঁকা রেখাদলে অলেখ্য রূপ।  
কারো হাসি কখনো ছিঁড়ে আনে জীবনের পোড়ামাটির সুগন্ধি ক্ষণ নিভৃত চিরন্তন স্পর্শ।  
অবিরাম প্রশ্নের ঢেউয়ে ভাসে অসমার্জিত শব্দ, ভোরকে ডাকেন নিরাশ্রয় পাখি অচেতন আকুল।  
মনমানুষের অরক্ষিত ভিতরে গোপন মেঘ জমা হয় নিষ্ফলা অপেক্ষায় ক্লান্ত সূত্রহীন ভালোলাগা।  
আর তবু জীবন গড়ে ওঠে আলিঙ্গনহারা সুরে, নির্মম মধুরতার ঢেউয়ে স্বপন দোলন।  

গভীর নিশীথে নক্ষত্রেরা কাঁপে সোনার দীপের অমলিন মৃদু জোনাকি হৃদয়ে নিবিড় শিহরণ।  
চাঁদের আলোয় ভেসে আসে অচেনা দিনের স্মৃতিগুলো অশ্রুমল্লার মতো নিস্তব্ধ বিষণ্ণ ওজস্বী।  
নীর্বতার কোলাহলে হারিয়ে গেছে গোপন প্রশ্নের বক্তৃতা অব্যক্ত ভাসমান শূন্য আলম সন্ধিক্ষণ।  
মনেপরে বিস্মৃত ফুল খুলে পড়ে অন্ধকারের গহবরে রক্তচন্দন গন্ধ প্রেমানুরাগী জীবনস্পর্শী নীতবৎ।  
পলাশের লালিমা মনে করায় অম্লান অগ্নি, হৃদয়ে ছড়ায় অনির্লজ্জ চিত্র বিদগ্ধ পবিত্র।  
এই নিশিবিলাসে সন্ধ্যভেজা জমতে থাকে অমতিরিক্ত আবেগের সুর বেদনাবিধুর সকুল উত্তল বিজয়।  

তোমার অদৃশ্য বাহু ছুঁড়ে দিচ্ছে উড়ন্ত প্রিয়তমার অমার্জিত লোভ অনাগ্রহী অগ্নিময় স্বপ্নগ্রাসী।  
দূরত্বের আগলে দাঁড়িয়ে তোমার ছায়াকে আঁকছি অশিকার ভাস্কর্য নির্ঝর ক্লান্ত আবেগময় নীড়।  
