আকাশ বুকে কালো মেঘ জমেছে আজ সন্ধ্যার আলোয়  
শীতল বাতাসে কাঁপন, দূরে বাজে অবিরাম মননের সুর  
মেঘের নাচে লুকানো গল্প ঝরে পড়ে মনে আজ  
অবসন্ন হৃদয়ে জাগে এক নীরব অনুরাগের মধুর সুর  

করুণ চুম্বনে আঙুলের রেশমাতলে পড়ে প্রথম মিষ্টি ফোঁটা  
হৃদয় দৌঁড়ায় অচেনা রাস্তায় বৃষ্টির ছন্দে মিলিয়ে চলে  
দুঃখের নীল পর্দা ভেঙে যায় মৃদু শিসে আজ  
আনন্দের পরশ আসে ভিড়হীন এ নীরব এক কোণে  

প্রবাল শাখায় জলধারা ঝরে, পাতায় মধুর রিংসিদ্ধ শব্দ  
সাধারণ বৃক্ষও আজ হৃদয়ে এক নতুন আলাপ জাগায়  
ফাঁপে দিয়ে নীরব চুম্বনে আঁচলে মধুর স্নিগ্ধতা বাজে  
ছায়ায় মিশে মাটি, জেগে ওঠে সবুজ মিলনের গান  

শহরের মেঝেতে পানি জমে, নীরব প্রতিবিম্ব বলে গল্প  
ক্লান্ত ফুটপাথ ঘোরে টিপ্পণে, অচেনা লহমা নাচে পথিক  
আলোছায়ায় ঝলমলে সব কিছু ভাসে, অলক্ষিত নাচিয়ে মন  
ব্যস্ততায়ও বৃষ্টি দেয় এক অচেনা মধুর প্রশান্তি আদর  

ছোটবেলায় ছাদে দৌড়, ভিজে জুতো কুঁচকে হাসি আনন্দে  
অতি অবর্ণনীয় সুন্দর সে দিনগুলো আজো মনে করে সব  
মাটির গন্ধে মিশে থাকে মাতাল মধুর গানের স্বর  
বৃষ্টির ছোঁয়ায় ফিরে পায় সেই অচেনা মমতায় মুক্তি  

একাকী বিকেলের নিঃশব্দ আলোয় পড়ে নীরব মিষ্টি ফোঁটা  
আয়নায় নিজেকে খুঁজে পাই অবিব্রত দুঃখের চোখে আজ  
বৃষ্টি শোনায় একান্ত বিশ্বাস ভুলগুলো ভুলিয়ে চলে মধুর পলকে  
নীরব মেঘে মুছে দেয় ব্যথার সবই কোমল ছাপ  

ছাদে বাজে সুষুম ধ্বনি, ফোঁটার আস্তে বাজে লয়  
ছাদফাটা গলা দিয়ে আকাশে আকুল উদার গান তোলে  
নদীর স্রোতেই মিশে যায় বৃষ্টির মধুর অলীক সুর  
মেঘের কোলে ওঠে সুরেলা এক অমল স্বপনিল ধ্বনি  

তোমার চোখে ভিজে দেখা বৃষ্টি নিয়ে স্বপ্ন সাজাই  
আঙুলে হেঁটে ঢেউ ওঠে হৃদয়ের বাঁধ ভেঙে নীরব  
দুজনার নিশ্বাসে মিশে মধু, বাষ্পে ভরা নীরব চুম্বন  
বৃষ্টিতে ভেজা হাত ধরে ঝরে প্রেমের পবিত্র আঁচল  

শিশুর কানের কাছে বাজে টিপ টিপের গান প্রমোদময়  
লাঠি খেলে হেঁটে পোড়েনা মাটির স্নিগ্ধ মিষ্টি ঢেউ  
কাদা খেলায় মিশে কিশোরের দাউ দাউ আনন্দ সোনালী  
বৃষ্টির মাঠে খেলা জীবনের মুক্ততা দান করে অমল  

দিঘির পাড়ে ঝরে জল, মুছে দেয় সব দাগ  
মনের সব অতীত ধুয়ে ওঠে বিন্দু বিন্দু ফেনায়  
মুক্তির পথে এসে মিলে নদী, গ্রামে ফিরে আশা  
দর্পণে ঝাঁকে আলোয় নবজন্মের উজ্জ্বল আলোর প্রতিচ্ছবি ফুটে  

বৃষ্টি শেষে শিশিরে ভিজে উঠে স্নিগ্ধ নতুন সকাল  
মেঘপারে ছড়ায় আকাশে স্বপ্নের রঙিন অদ্ভুত ছবি আঁকা  
ফোঁটার সুরে বাঁধা হৃদয় মুক্ত, খুঁজে পায় পথ  
বৃষ্টির প্রস্রবে মিশে জীবনের অম্লান মধুর উল্লাস অশেষ
