আমার মাটিতে গেঁথে আছে রক্তের চিহ্ন নিরন্তর জাগ্রত  
সাহসের কথা বলে প্রতিটি ছায়া সোনালি রৌদ্রের গান উজ্জ্বল আলোর  
প্রাচীর ফাটিয়ে উঠে স্বাধীনতার বিড়ম্বনা-ধ্বংসকারী শ্লোগান মনের কণ্ঠে দাগিয়ে রেখে  
শবনমের আঁচলে ঢাকা আছে হাজারো শহীদের মৃদু সুর মুক্তির আলোড়নে  
তাঁদের স্বপ্ন জেগে ওঠে লাল পতাকার প্রতিটি ঢেউয়ে উত্তাল বাণী  
আমি দেশপ্রেমের আলোকবর্ষী আলোতে পথ হারাতে কদাপি চাইনা স্বপ্নের তীর্থে  
আমার ভালবাসা আঁকড়ে ধরে উড়িয়ে নিয়ে যায় দূর আপন দেশে  
প্রতিটি ধাপে বাজে হাজার বাঁশির রাগিণী উন্মত্ত উৎসবের উল্লাসে জাগ্রত  

সকালে ভোরে ওঠে সোনালি কুঁড়ে, প্রতিধ্বনিত বাঁধনহীন স্বপ্নের ডাক মনের তান  
নদী বয়ে নিয়ে চলে সাহসিকতার অক্ষরে লেখা চিরসবুজ অম্লান ইতিহাসের  
পাখির ডানায় ভাসে সোনার সন্ধ্যার মিষ্টি অমল বাংলার সুর কণ্ঠে  
বীরদের কণ্ঠে কামনায় গর্জে ওঠে অযত্নে রেখা অনুভূতির অটল আবেগ  
ঝরে নামে মুহুর্মুহু হুগলি নদী সোনার জলধারা কণ্ঠে উচ্ছ্বাসের গান  
মাটির গন্ধে মিশে আছে বটগাছের ছায়ায় চিরন্তন স্মৃতিগন্ধ জননী স্নেহপরাণ  
অরণ্যের নীরবতায় প্রতিফলিত হয় দেশের হৃদস্পন্দন অনবদ্য ঐশ্বর্যের আভা সংহারের  
আমি বন্দী বাতাসের মতো ছুটে চলব নীরবতার অজস্র চেতনার সন্ধানে  

দ্বিপাক্ষিক সেতুর আপন চরণে মিশে সমতার অনিন্দ্য আলোর রূপালী আবাহন  
ধানক্ষেতের সবুজ ঢেউয়ে স্নায়ুর স্পন্দন ভাসে উত্তাল চেতনার উল্লাসে আকাশে  
লক্ষ্মীপুরের মেঘলা আড্ডায় বাজে শিল্পীর কলমের আঁচড়ে আঁকা মুক্তিযুদ্ধের ছবি  
লাল সবুজের মেলবন্ধনে গাঁথা আছে লক্ষণীয় বীরদের অম্লান শ্রদ্ধাবারা সাহসধারা অনুপ্রেরণা  
প্রতিটি নগরে বুকের বাকি বুড়িগঙ্গার ঢেউয়ে লুকানো শঙ্খধ্বনি মুক্তির বার্তা  
অবক্ষয়ের অন্ধকারে মিশে আছে বীরাঙ্গনাদের অমোঘ নারীর প্রতিবাদী অগ্নিস্ফুলিঙ্গ অম্লান  
আমি তুলে রাখি হৃদয়বৃত্তে প্রতিটি বাঁশি শব্দের অন্তহীন গর্জনে অবিচল  
দেশপ্রেমের গ্রন্থখানি ভাঁজে ভাঁজে লুকিয়ে আছে অমোঘ বীরত্বের প্রতিটি অণু  

বজ্রপাতের গর্জনায় প্রতিধ্বনি হয় শহীদদের চিরন্তন অশ্রুবিন্দুর দ্যুতি অনাবিল দীপে  
শিশিরবিন্দুর স্পর্শে জেগে ওঠে শতবর্ষের শিশিরধারার নির্জন বুনন শুদ্ধচিত্ত পবিত্রতা  
নক্ষত্রদের সমাবেশে জ্বলছে স্বাধীনতার দীপালোকের চিরন্তন অমল জ্যোতি অনাবৃত আঁড়াল  
নদীগুলো গাইতে চায় বাঙালীর বলিষ্ঠ বুনোটের গােড়ার চেতনায় গাঁথা বাণী  
বটের ছায়ায় শুনতে পাওয়া যায় মােড়লের লেজুড়ির হাসি স্মৃতিসৌধের স্মরণ  
অরণ্যের বনভূমে বাজে শূন্যতার ক্যানভাসে আঁকা দৃঢ়তার স্বপ্নচিত্র চাওয়াদাাড়ি বিশ্বাস  
