অন্ধকারের কোণে শোনে নিভৃত হৃদয় নীড়ের গভীর আবেদন  
ভোগে বিন্দুমাত্র শান্তি, অল্পটুকু ন্যায়ের মানবতার উজ্জ্বল আলো  
ম্লান স্বপ্ন জলে সাঁতরে ভাসে নির্দোষের অনুপলব্ধ অধিকার  
অবিচারের কঠিন পাঁজরে টিপে রাখা ক্যানভাসে লাল চিহ্ন  
নির্যাতিত কন্ঠে ধ্বনিত হোক ন্যায়বিচার উচ্চ নিবিড় করুণায়  
সতর্ক চোখের দৃঢ় বিজারণে দীপ্তি জাগুক ন্যায়ের পতাকা  

অন্ধকারে বাঁধা ভারসাম্য জলে বহে অনাবিল ভারী ব্যথা  
দায়িত্বহীন বিচারে শোভা পায় নিঃস্ব মানুষের দুর্ভাগ্যজনক কান্না  
সঠিক বিচার দাবির রোদের আলোক ফাঁড়ায় জ্বলে আশা  
তরুলতা নয়, দরদ নয়, কেবল ন্যায়ের কঠিন নীতি  
দোষী নির্ভয়ে খুঁজে পেতে সঠিক পুপ্ত প্রমাণের দীপ্তি  
উজ্জ্বল বিচারপ্রদীপ জ্বালিয়ে মুছো পৃথিবীর নিশীথ অন্ধকারের ঘনঢেউ  

রুখে দাঁড়াও নির্যাতনের বিরুদ্ধে, ছুঁড়ে ফেলো হিংস্র ছায়া  
দমিয়ে রাখা ক্ষুব্ধ গর্জন মুক্তি পায় সৎ দাবিতে  
নির্ভীকতা বুনে আড়ালে লুকোনো সত্যের পাপড়ি উন্মোচন করো  
অবিচল মনোভব নিয়ে রচনা করো নতুন ন্যায়ের গান  
প্রাণের কব্জিতে বাজুক অক্ষয় অনন্ত দায়বদ্ধতার তিন কাল  
অসাম্যর দালানে অটল অটুট জয়ী হোক ন্যায়ের নীড়  

ভোরের রশ্মিতে দ্বন্দ্ব ভেঙে পড়ুক হীনতার বিষণ্ণ শেকল  
স্বপ্নের মঞ্চে নৃত্য করুক অহিংসার সরল মাধুর্য ছন্দ  
দুর্নীতির কালো মেঘ ছড়িয়ে দেয় অবিরাম অম্লমধুর বিষবৃষ্টি  
স্বচ্ছ নীলাকাশে ফোটুক ন্যায়ের রঙিন ধবল মেঘমালা শোভা  
নিশ্চিন্ত প্রাণের সুরে ব্যাপী হোক মুক্তির উল্লাসময় গান  
নতুন দিনে জাগুক অটল ন্যায়ের অম্লমধুর ধারা প্রবাহ  

মিলনের পথ ধরে করো বিশ্বাসের সদভাবনায় আলোর চালনা  
অন্যান্যদের ব্যথায় নিজেকে করো দায়িত্বের উদার সৃষ্টি করুণা  
একসঙ্গে উঠে বাঁধো নতুন অসংখ্য বন্ধন ভেদ করে  
তবুও রুখে দাও বারবার অবিচারহীন লোভ-লোভের অন্ধকারী দাবী  
বিন্দু বিন্দু সংগ্রামে গাঁথো তোমার আদর্শ ন্যায়ের সেতু  
সর্বভুক্তের হৃদয়ে ফুটুক উজ্জ্বল সমতার অনন্ত বিকশিত ফুল  

দৃঢ় সংকল্পে গড়ো ন্যায়ের অমল ধারা সদা প্রবাহিত  
প্রতিটি অহঙ্কার হ্রাস পাক অটল নিষ্ঠাবান দায়িত্ববোধের তীরে  
সত্যের অবিরাম রশ্মি ভেদ করুক মিথ্যার কালো কুয়াশা  
সহমর্মিতা বেয়ে আসুক নির্ভুল দুঃখের উঁচু ঢালে সহায়  
পথিক হোক আত্মবিশ্বাসী নির্ভীক, চলে হোক আদর্শের পথে  
শেষে জয়ী হোক অটল অদম্য ন্যায়ের অমলিন সমর্পণ  

আলোর নৌকায় উঠে নাও ন্যায়ের অমলিন শ্যামল স্বপ্ন  
হৃদয়ের দিহি জ্বালিয়ো উত্তাল নব বন্দী সত্যের আগুন  
ত্রিজাগ্রত দৃষ্টি রাখো ন্যায়পরায়ণ অমল পথের উজ্জ্বল প্রতিচ্ছবিতে  
এক লহমায় মিলুক বিশ্বমানুষের উজ্জ্বল অক্ষয় আকাঙ্খা সমতার  
দাও দান সত্যের খৈরাত, নির্মাণ করো ন্যায়ের মন্দির  
যেন মানবতার চিরন্তন গান গাইতে পারি সবাই মিলে
