প্রভাতের সোনালি আলো ভেদ করে  
অন্তরবক্ষে বেঁধে থাকা অন্তর্জ্বালা নিভৃতে আহ্বান করে  
হৃদয়ের কোষে মিশে থাকা আশা জাগে মুক্ততার প্রলেপ ছিঁড়ে ছড়িয়ে পড়তে  
বন্দিদশার গণ্ডি ভেদ করে প্রতিটি নিঃশ্বাসে লিখে যায় স্বাধীনতার পৃষ্ঠা উজ্জ্বল  
ভয়ে হারানো করুণার ছাঁয়া মুছে দিয়ে বিকশিত হয় সাহসের প্রতিশ্রুতি নতুন  
সূর্যের লালিত তাপে জ্বলে ওঠে অবাধ্য আঁধারের শেষ সীমানা বিস্তৃত ভূবনজুড়ে  

মুক্তির পথ অপূর্ব রেশ ফেলে যায় প্রত্যেক পদযাত্রার আবছা স্মৃতিতে ধীর  
ব্যথার সুর ভেসে আসে গ্রাহ্যতাকে বাধ্য করে হার মানতে না কখনো  
প্রত্যয় জাগ্রত হলে অজস্র বন্ধন খোলা চোখে সাক্ষী থাকে নির্লিপ্ত চেতনায়  
সমরঙ্গনের স্বপ্ন চেনা যায় বীরত্বের মূর্ত নিঃশ্বেত হাসিতে নিশ্চল আভা  
কারাগারের দেওয়ালে ফুঁটে ওঠে মুক্তির ঢেউয়ের দীপশিখা অদম্য লহরী প্রবাহিত প্রান্তরে  

গান ওঠে মাঠে মাঠে, বাঁধ ভেঙে যায় রক্তে রচনা বাধার অবিচল  
মাল্যাদীপ হাতে ধরা প্রত্যঙ্গ যেন অমোঘ নির্বাণের প্রদীপ অন্তর্দাহ জ্বলে দিগন্তে  
ঝটিকা বিদ্রোহে ফুল ফোটে যুগান্তরে সুরে অনিবার্য পরিবর্তন অমল কণ্ঠে মিশে  
প্রত্যঙ্গের গহীনে গলে যায় দাসত্বের স্ফটিক চেনা বন্ধন অক্ষয় বিদায়ে ম্লান  
উদ্ভাসিত মননে জাগে মুক্তির অচিন পাখির উদার ধ্বনি সুরেলা প্রাণে মিশে  

শোষণ আর অবিচারের স্রোত মলিন করে প্রতিখাত অচেনা গন্তব্য আলোকিত দ্বিসন্ধি  
অবাধ স্বপ্ন লালিত হয় হৃদয়ে স্বাধীনতার সিদ্ধির কুঁড়ি চেভে জাগরণে অবরুদ্ধ  
ভাঙন স্কন্ধে বহন করে মানুষের গর্বিত প্রতিবাদ গীত নিশ্ছিদ্র উদযাপন প্রবাহে  
বাধ্যতার আবরণ ঝেড়ে ফেলে মুক্তি খোঁজে অসীম ছোঁয়া অপরিসীম আলোকে রঙিন উজ্জ্বল  
প্রত্যুষে নতুন অধিকার গাথা হয় মুক্ত চেতনার শ্রেষ্ঠ সংজ্ঞা দিশাহীন জীবনে  

সীমানাহীন মনই পারে ছুঁতে অতলান্তিক শুভ্র স্বপ্নের তীর্থ অভিযান প্রবাহিত যাত্রায়  
রক্তিম প্রেরণায় লিখিত আজ জাতীয়তার অতৃপ্ত ব্যাকুল উপাখ্যান উদ্ভাসিত আলোচ্ছটা জাগে  
পাখি হয়ে ওড়তে চায় ইচ্ছের গগনে বাঁধা হবার প্রতিবন্ধকতা অচঞ্চল পথে  
অনুৎপলব্ধ মুক্তির সুবাসে ঝড়ে ওঠে নির্বিঘ্ন আকাঙ্ক্ষা অগণিত আলোকে রঙ্গিন উজ্জ্বল  
চিরন্তন স্বাধীনতার লীলায় মিশে যায় সীমাহীন মানবতার তর্জনী স্পর্শিত সীমায় মেলামেশা  

স্বাধীনতায় বোনা অভিমানে নেতিবাচকতার ছায়া হারায় ধ্রুবতারা অবক্ষয়িত আলোকধারা অক্ষুন্ন আশা  
বিক্ষুব্ধ হৃদয়ের সলিল থেকে ফোটে মুক্তির অম্লান সঙ্গীত মধুর অনন্তে জোয়ারে  
প্রত্যেক শ্বাসের মধ্যে গেঁথে আছে নির্জন কণ্ঠের প্রতিধ্বনি উত্তাল চেতনায় দগ্ধ  
অচেনা বেলাভূমিতে দিশাহীন পথিক খুঁজে পায় মুক্তির দ্বার অরূপ অন্তরঙ্গ আনন্দে  
সূর্যাস্তের লালিতে জ্বলজ্বলে স্মরণ হয় স্বাধীনতার অবিচল আলো অম্লান উৎসবে উজ্জীবিত
