লহরিতে আনন্দের মুক্তির সুর বাজে হৃদয়ে, শিকলভাঙা স্বাধীনতার নতুন স্বপ্ন জাগায় প্রান্তরের ঢেউয়ে বয়ে আসে  
রক্তমাখা ইতিহাসের পাতায় লেখা প্রত্যুষের প্রত্যাশা আজ ফুলে ফোটে আলোয়, মোরাল জাগে নতুন আত্মা জ্বলে  
শুবর্ণিম প্রভাতের বাণী প্রতিধ্বনিত করে মুক্তির অমল ধ্বজা উড়ায় করে, গৌরবে গান নেশা জাগে হৃদয়ে  
প্রত্যেক পদক্ষেপে স্নাত হয় শোক, মুক্তির আলোয় ধুয়ে যায় দুঃখের ছায়া, জাগ্রত আশা জ্বলে শুধায়  

স্বাধীনতার স্বরূপ মোক্ষের শিখরে পৌঁছার অবিরাম আকাংক্ষা বয়ে চলে বুকে, যার চেতনায় জাগে জীবনের আলোর  
ছুঁয়ে নেয় পাখিটি হাওয়া, অবাধভাবে মিশে যায় বিস্তৃত আকাশের সাথে, ফিরে আনে নতুন উড়ে সরস্বতী  
শহর-গঞ্জের ভাষারেখা ভুলেমনে মুছে গিয়ে গড়ে উঠে তুলসীপাড়ার গান, ফোঁটায় আলোর মুকুটে জয়ধ্বনি গায় সুরে  
আজ শূন্য চৌকাঠে প্রাণের গান বাজে, স্বাধীনতার ধমনিতে ফেঁসে যায় বিদ্রোহী তান, জয়োৎসবে মিশে ছায়া  

কৃষকের হাত ছুঁয়ে নেয় মাটি, স্বাধীনতাকে করে স্নাত করে বীজে বপন, উৎসবে জাগে জীবনের আলো  
শ্রমের ক্রন্দনে ভাসে স্বপ্ন, মুক্তিযুদ্ধের ক্লান্ত পায়ে নতুন পথ তুলে ধরে, গড়ে আনে উম্মেষিত আনন্দ  
স্বাধীনতার শিখায় অক্ষত চিহ্ন রেখে গিয়েছে মুক্ত ভালোবাসার পুনর্বাসন, ভোরের আলোয় জাগে চেতনাবোধে হৃদয় জ্বলে  
সীমাহীন স্বপ্নোন্মাদনায় ছুটে চলে শহীদভূমির কণ্ঠে প্রতিধ্বনি গান, গড়ে আনে মূল্যবোধে জাগ্রত নতুন আত্মা দেউলি  

ইতিহাসের পাতায় লিপিবদ্ধ নয় শুধু, এটি অনুভবের উৎসব—প্রতিটি নিঃশ্বাসে মুক্তি, জাগে আলোর কোর্সে নতুন আশায়  
বাঁধ ভেঙে বয়ে যায় চেতনাবিখ্যাত স্রোত, কবিতার পঙক্তিতে ফুটে ওঠে অভিমান, মিলায় শ্রদ্ধায় একত্রে গাই  
স্বাধীনতার মূর্তিছবি আঁকা চোখে, উৎস তাদের যাদের রক্ত দিয়ে লেখা অগ্নিকাব্য, আজও জাগে জীবনদানে জ্বলন্ত  
তাদের বলিদান স্মরণ করে আমরা ধরি অক্ষরে অক্ষরে স্বাধীনতার অমোঘ করুণ, স্মৃতির দিনে অনন্য গাথা  

স্বাধীনতার ধানি মাথা তুলে দাঁড়ায় বিজয়ের খেতে, পতাকা তার কাঁধে বাহন, গর্ভে জাগে আলোর আবাহন  
আলোর উত্তাপে গলে যায় ভয়, নির্ভয়ে এগিয়ে চলে জনতা—স্বপ্নের কারাভোগিরা, আত্মুণ্ডিত কারিশ্মায় জাগে আশার নবরূপ  
তারিতমাগন্ধ গ্রাসে সমুদ্রের ঢেউ, স্বাধীনতার স্বাক্ষর মেলে বুকে, ভরে আনন্দের হূদয়ে উজ্জীবিত জীবন চায় থাকে  
এই স্বাধীনতায় আমরা মেলে দিই স্বপ্নের ডানা—উড়ে যায় পাখি অফুরন্ত আলোর কাননে, উচ্ছ্বাসের মুদ্রায় নূপুরে  

স্বাধীনতার গাঁথা লেখা শুধু ইতিহাসে নয়, স্মৃতি-সুঁই থেকে বয়ে আসে আজীবন প্রেরণা, পাশে দিয়ে চিরন্তন  
যেখানে চেতনার আলো মেলে মুক্তি, একটি স্বাধীন হৃদয়ে জাগায় অদম্য আশার স্রোত, অন্তহীন সঙ্গীতে বেলে  
আজ আমাদের চিরন্তন কর্তব্য তা বহন করা, আগামীর কিশোরের মাঝে বাড়তে দেওয়া, আলোর প্রতিশ্রুতি নিয়ে  
কারণ স্বাধীনতা আমাদের সম্মান, আমাদের আশা, ওড়ে আপন শক্তির উল্লাসে চিরকাল, উল্লাসে বিহ্বলতা মুছে দিয়ে
