হ্রদয়ের অসীম নিমগ্ন গভীরে বাজে ব্যাকুলতার এক অশ্রুজল ঝরনার শীতল বেদনা সুর, নিঃসঙ্গতার নূপুরের স্পন্দন।  
রক্তবর্ণ আশা ভেসে যায় নিভৃত আঁধারে, যেখানে প্রতিধ্বনি জাগে হারানো স্বপ্নের বিষাদ, নিভেজানো সহস্র শূন্যতার।  
বেহাল পাথরে ছুঁয়ে যায় মন, তবু গায় কারো শুনতে পায় না অন্তরের আর্তনাদ, নিষ্প্রাণ বাঁধনে।  
চাঁদের কিরণে মিশে যায় ভরসার হাসি, অথচ নিঃস্বপ্ন নীরব চোখে জ¦রে আসে বিচ্ছেদের কোমল অভিশপ্ত।  
দূর থেকে শোনা যায় কারো হৃদযন্ত্রের ভাঙার গহ্বরী সুরের নিঃস্বিত ধ্বনি, শ্লেষময় ছায়াময় অনুভূতির বিক্ষুব্ধতা।  
আমি হাঁটি শুনশান পথ ধরে, যেখানে প্রতিটি ছাপ আমারই ভাঙা ভরদস্তর, শূন্যচিত্ত নীতিহীন অভিশপ্ত অপেক্ষা।  
নেশায় মমতা ফুরিয়ে যায়, তবু হৃদয় আঁকড়ে ধরে অতীতের লালনকৃত স্মৃতি, বেদনায় অবিরাম নির্জীব অভিশপ্ত।  
কান্নার রেশ মেখে পড়ে মুখে, নিঃশেষিত আকাঙ্ক্ষার পেছনে ছুটে চলা সে নির্লজ্জ পথচিহ্ন, দুর্বোধ উজাড়।  
বাতাস শুকায় শব্দ, ঝড় নীরব হয়ে যায় ভেতরের জ¦রায়, আলোর কৃষ্ণরেখা চিহ্নে বঞ্চিত হৃদয়ের প্রার্থনার ভাঙন।  
স্বপ্নের আভাস মুছে যায় অমনি, যখন আঁধারে বিলীন হয় প্রত্যাশার আঁকড়ে থাকা ছায়া, নিঃস্থব্ধ অবলোকন।  
প্রতীক্ষার সরন্নাময় রাস্তায় পা’য়ে চাকা জমে, মারাত্মক নীরবতার ওজন বাড়ে অভ্যন্তরে, নিষ্পলক ফলিত অস্ফুট খাঁজ।  
এ বিকেলের ধূসর আলোয় পড়ে মিথ্যা আশা আর অবহেলার আলসেমি ছড়ায় অন্তরে, নিবারণ উন্মত্ত নীরব।  
দুচোখে জমে ওঠে ব্যথার রক্তিম রেখা, আঁচড়ে ধরে ভেঙে যাওয়া স্মৃতিগুচ্ছ, বিচ্ছিন্নতা জগৎ ঘাতক নিষ্ঠুর।  
হাসির ফুসফুসে ঢুকে পড়ে নিষ্ঠুরতা, রসালো আনন্দ মরে যায় ছুরিকাঘাতে, নৈরাশ্যের ধুলিকণা উল্কাপিণ্ড বিন্দু শূন্য।  
শৈশবের উচ্ছলতা ডুবে যায় ভবঘুরে স্মৃতির কুয়োর অম্লান স্রোতে, কাব্যর অভঙ্গ নিবৎ বিন্দু জ¦র নীরব।  
ঝরনার জল শীতল হয়, বিক্ষিপ্ত হয় ভ্রূকুটি, ফুটে ওঠে নিঃসঙ্গ বিষাদের কুঁড়ি, তীক্ষ্ণ নিবৃত প্রতিধ্বনি।  
পৃথিবী ক্লান্ত হয়ে যায় এই অমোঘ যত্নহীনতার নীরব নাচে, ছিন্নুভিন্ন শিহরণ, অবলোকিত বিকলিত নিরর্থক বেদনার।  
কারো না জানা নিঃশব্দ অধ্যায়ে আটকা পড়ে আশা, খুঁজে পায় না মুক্তির ঠিকানা, অভিশপ্ত ব্যথাময়।  
নীরবতার বিকিরণে গলে যায় রং, থাকে শুধুই ক্ষয়িষ্ণু অসহায়তার মূর্তি, ক্ষরিত অপার্থিব তুমুল নিভৃতে ক্ষণজন্মা।  
কতবার ভেঙে চূর্ণ হয়েছে হৃদয়, অথচ প্রতিবারই মারিয়ে উঠেছে বেদনার অদম্য ঢেউ, নিশ্ছিদ্র কষ্টের সহিষ্ণু।  
আলোকের খোঁজে পিছু নাতে ভ্রমণ, যেখানে খাপতে হয় দূর্ঘটনার অনিবার্য তীব্রতা, অপ্রশম্য মৃত্যুঞ্জয়ী শূন্যারাগ অভিশপ্ত।  
রাত্রি জেগে পড়ে দেহে, শুনে অন্তর অঙ্গারে নীরবতার নিমজ্জিত ধ্বনি, আদিম বিদ্ধ উভয় বিক্ষিপ্ত শিহরণ।  
স্বপ্নদেহী আঁখিতে খেলার ছায়া, ভাসে ব্যতল বেদনার ছোঁয়ায় মলিন কাদামাটি, অধঃস্খলিত উদাসীন ক্ষণস্থায়ী নিমগ্ন অন্তঃসত্ত্বা।  
বুকের তলদেশে জমে থাকা বিষকের স্রোত, বেরোতে চায় কিন্তু লজ্জায় কণ্ঠরুদ্ধ, অশ্লীল নিপীড়িত বেদনার তমসা।  
শেষ প্রহরে ফিরে আসে নির্ঝর পুনরাবৃত্তি, রাখে নিমজ্জিত একেবারে নিস্তব্ধতা, অমোঘ অতল অগ্রহণী জ¦র সূত।
