অগ্নিবাতায় জেগে ওঠে নীরব বেদনার অতল থেকে নব্য বিদ্রোহের আকুল কথা উচ্ছ্বাসে দগ্ধ প্রত্যাশায় মিশে  
প্রতিটি হৃদয় ধুম্রজাল ফাঁকি দিয়ে খুঁজে পায় দীর্ঘশ্বাসের ডাক আর বিজয়ের স্পৃহা উদ্যমে পূর্ণ প্যাষানে  
রক্তমাখা ইতিহাসের পাতায় লেখা কালো দাগ আজ লাল আলোয় বদলে যাচ্ছে নাবালক প্রস্ফুটিত আশায় জাগে  
বিক্ষোভের ঢেউ তুফান হয়ে প্রতিটা অস্থির হৃদয়ে বর্ষায় বিপ্লবের বীজ নিয়োগে অগ্নিকন্যা উজ্জ্বল জ্বলে দেয়  
শিকারী-শিকারের লড়াইয়েও জন্ম নেয় মুক্তির অসম বিকলজ আঁকে অদম্য প্রতিজ্ঞা উন্মাদে প্রতিধ্বনি স্বপ্নের দিশায় তরে  
ধূলিমাখা পথিকের পদচিহ্নের ধারে সুপ্ত পরিবর্তনের বাতাস আক্রোশে পায়ে পায়ে ফুঁড়ে ওঠে স্ফুরণ আছে নীরব  
সভ্যতার ভাঙাগড়ার ধ্বংসাবশেষে জন্ম নেয় অনাগত ইতিহাসের নক্ষত্ররা বীরত্ব বুনে আশাময় নিমেষে জ্বলে পারে সংকল্পে  
রাতের নিস্তব্ধতাকে থামিয়ে দেয় ভাইবোনের স্বর আলোড়িত করে সময়ের রূঢ় লাঠি দোলায় নিত্য উদ্যমে আনন্দে  
চোখের অবিচল জলে ভাসে স্মৃতির ডানাখেঁচড়া ছবি প্রতিজ্ঞার পটে আঁকা আলোকছটা লাল নীল বর্ণে জয়ধ্বনি  
রাজপথের ধুলোয় দোলে বীরের ধান পালক স্মরণীয় সংগ্রামের পদ্ম অপ্রতিরোধ্য প্রস্ফুটন অগ্নিশিখা স্কন্ধে জ্বলছে নিঃসীম  
প্রত্যাঘাতের লেজলাইতে লিপ্ত প্রতিকূলতার সমুদ্রে ওঁৎ পেতে থাকে প্রত্যয় অবিস্মরণীয় বাসনাবৃত্তি পৃথিবী জাগে বিশ্রামহীন আকাশে  
কব্জী টানলে খোলে স্মরণে গীতিকার ব্যথার সুতো বেঁধে দেয় মুক্তির আসায় উদয়ন ভাসে মনে  
লাল পতাকার ছায়া আনয়নে সাড়া দেয় দ্যুতি মিশ্রিত সারা জনপথে বিতপ্ত হৃদয় দুমড়ে মেচে ভরিল  
আলোরে আঁকা বিপ্লবী মনন রচিত হয় নবান্নের অম্লান অরুণ সম্ভাবনার ঝরনায় স্নিগ্ধ সঙ্গীত মূর্ত কাব্যের  
ধ্বংসাবশেষে লুকিয়ে থাকা শক্তিধর স্বপ্নেরা আজ সোনালি ফুলের মতো ফোটে বিমল আশাঢালে জাগে নীরব উচ্ছ্বাসে  
অন্ধকারের আধার ঝাঁপিয়ে পড়ে আলোতে দীপ্তিমান বিকেলের বিকাশ মন্থরকে অবলোকনে উদিত নতুন স্বপ্ন বুনে বার্ণে  
শিকড় ছিন্ন করেও শ্বাস নেয় গহীনে লুকানো বিদ্রোহী মনুষ্যত্বের গথিতা শক্তি অক্ষয় জাগে অপূর্ব অভিলাষ  
যুদ্ধ আর নিষ্পেষণের ছায়ায় দাঁড়িয়ে থাকে নতুন সূর্যের অদম্য আশাবাহিনী নিভে নেড়ে চড়ে প্রার্থনায় জীবনের নবান্নে  
সম্মিলিত কান্ডারে গড়া হয় সম্ভাবনার নৌকা যাত্রায় যায় বেদনায় বিভীষিকায় শিখরে উত্তীর্ণ সৈন্য প্রত্যয়ন মোহে  
প্রতিটি ধ্বনি মিলে ভাসে বাতাসের উন্মুক্ত বুকে সৃষ্টির উত্তাল গীত নূপুরে মিশে অমৃত ববে প্রেরণায়  
প্রাচীর ভেদ করে মেলে নতুন আকাশের বন্দরে বেদনারী বরণীয় বসন্ত দিগন্তে জয়ন্তী জাগে প্রস্ফুটিত নয়নছোঁয়া  
চলমান পদব্রজে জাগে ইতিহাসের মণিমুক্তো স্বর দিয়ে বলে বিপ্লবের নাম অমোঘ ইঙ্গিতে কথায় বাণীতে আবার  
হৃদয়ের ছত্রভঙ্গ হওয়া গাথায় আজ পূর্ণতার রূপ খোঁজে নতুন দিনের আবির্ভাবে লিপ্ত জাগরূক প্রতিধ্বনি জীবনী  
লাল প্রশ্নের জবাবে জাগ্রত হবে নীরবতার ছায়া, বিস্ফোরিত করে দেবে নতুন অধ্যায় অম্লান উদ্দীপনায় পংক্তিতে
