ID,Sample Number,Predicted Label,Actual Label
"2131341","883","Human","human"
"2131341","110","AI","ai"
"2131341","355","Human","ai"
"2131341","1191","Human","human"
"2131341","39","Human","ai"
"2131341","775","Human","human"
"2131341","251","Human","human"
"2131341","168","AI","ai"
"2131341","1069","AI","human"
"2131341","89","Human","ai"
"2131341","1040","AI","ai"
"2131341","284","Human","ai"
"2131341","416","AI","human"
"2131341","475","Human","human"
"2131341","200","AI","ai"
"2131341","567","Human","ai"
"2131341","267","AI","human"
"2131341","361","Human","human"
"2131341","617","AI","human"
"2131341","568","Human","ai"
"2131341","987","AI","human"
"2131341","392","Human","human"
"2131341","1227","AI","ai"
"2131341","634","Human","human"
"2131341","456","AI","human"
"2131341","240","Human","ai"
"2131341","766","AI","ai"
"2131341","25","Human","ai"
"2131341","523","AI","ai"
"2131341","1479","Human","ai"
"2131341","338","AI","ai"
"2131341","789","AI","human"
"2131341","571","Human","ai"
"2131341","524","AI","human"
"2131341","179","Human","ai"
"2131341","587","AI","ai"
"2131341","250","Human","human"
"2131341","431","AI","ai"
"2131341","708","AI","human"
"2131341","501","Human","ai"
