সকালের হাওয়া নিয়ে আসে নিঃশব্দ কোনো গল্প, শিহরনের কাঁপুনি ভরা প্রহর  
অনির্দেশ্য ক্ষণে জেগে ওঠে রঙিন স্বপ্নের অঞ্জলি, হারানো দিনের পাখি উড়ে চলে  

বহনমান এই নদীতে সময়ের ঢেউ ভাঙে শুকনো মণির মতো নীরব কম্পন ছড়িয়ে  
বালুকাময় তীরে জমে রয়ে যায় অদৃশ্যতার অশ্রুজল হয়ে ধরা নিভৃত স্বপ্নে বোনা একটি  

পলাশের উজ্জ্বল রক্তবর্ণ পাতায় লুকিয়ে আছে অতীতের মধুর হাসি নিভৃতে বোনা একটি  
ঝড়ের মুখে কুয়াশার আড়ালে ছিমছাম হয়ে যায় বৃথা আর্শীবাদ ঘূর্ণায়মান আলোয় হাসিমুখে  

সকালে ঘুম ভাঙার আগে স্বপ্নেরা চুম্বনে জাগে অধীর চোখের কোণে লুকিয়ে হাসে  
গাছের ডালগুলো উঁচু হয়ে শাপলাসনে ভরে নেয় নীরব পরীর স্নেহ অমৃতের সুধায়  

প্রহরের আঁধার নাচায় সরল হৃদয়ে এক দুর্জয় মায়া রাতের অলীক কালির আবেশে  
পাথরে অক্ষত বয়ে চলে স্পন্দন, মেঘের কোলে চেয়ে বসে বায়ু নিভৃতে শোনে  

দূরে কোন প্রদীপ জ্বলছে নিভৃতে, অচেনা এক চোখের কামনা নবীন আলোয় ডুবে  
ছায়ার খাঁজে খুঁজে পাই শৃঙ্গারী হৃদয়বৃত্তের অমোঘ সুর পলকে নিভৃত কথায় বেজে  

অরণ্যের ফাঁকে বয়ে যায় দিনরাতের স্মৃতিগ্রন্থি অবিনশ্বর, অম্লান সুরে উড়ে বসন্ত আঙিনায়  
হাওয়ায় ভাসে চিরন্তন মাধুরীর গোপন সাক্ষাতে হারিয়ে থাকা নিভৃত অলীক কথায় পরাগিত  

তোমার হাসির পরশে ফোটে পলাশের রক্তোৎসব, স্নিগ্ধ মুহূর্তে আলোর সিক্ত জলধারা অতল  
চোখের কোণে জমে যায় অনন্তের কাদম্বরী রহস্য, অন্তরে লুকায়িত নিভৃত স্বপ্নলিপি কথায়  

সৃষ্টির ক্যানভাসে আঁকা হয়েছে তোমার মধুময় প্রভাত, অম্লান কিশোরী ডানায় গৃহীত আবির  
প্রতিটি রঞ্জক বিন্দু জ্বলবে চিরকলজয়ী আকুল আঁচলে, পরশে নাট্য উঠে নবের নিদহন  

চাঁদের আলোর নরম ছোঁয়ায় বোনা হয় মুকুলিত লহরী স্নিগ্ধ মুহূর্তে সূক্ষ্ম প্রবাহ  
নিঝুম রাতে বাজে সুরের স্রোতে ভাসমান শূণ্যতার বোলে লোপিত বাসর লিপ্ত অনুভূতি  

হৃদয়ে চাকচিক্য ফোটে নতুন অম্লান স্বপ্নপুঞ্জ অমল আলোয় জাগে হাসি বিন্দু আকুল  
নিস্তব্ধ শ্রুতিতে মিশে যায় নিঃস্বনাদ বিরহগীতি অলীক উদাসীন পান্থায় নিভৃত কথন মত  

অজানা পথে পায়ে হেঁটে স্মৃতিরা ছুঁয়ে যায় প্রান্তর নিভৃত আলোর উত্তরণে সারথি  
প্রত্যেক ঢেউয়ে আঁকে তোমার নামের অক্ষর অদ্যতন স্বপ্ন শঙ্খপৃষ্ঠায় নিভৃত আলাপন কথায়  

আলো-ছায়ার খেলায় খুঁজে পাইও তুমি মনের আকর্ষণ নিভৃত সুরে অনুরণন হারায় রোমাঞ্চ  
অগ্নিসংযোগী প্রতিধ্বনিতে বাজে চিরকালের তানপুরা অম্লান হৃদ্য কম্পন ফেলে আনন্দে বিন্দু বোনা  

রবিতে রক্তস্রোতে ভরে যায় আমার অতল জাগরণ নিমজ্জিত অস্তিত্ব প্রহরে স্নান করে  
ক্ষণে ক্ষণে গড়ে ওঠে তোমার চোখের ইষ্টার কল্পছবি তবুও অনুভুতিতে নিভৃত রহে  

সীমাহীন প্রান্তর জুড়ে ফিরে ফিরে আসে তোমার নামধ্বনি অতল আনন্দে ধ্রুবতারা জ্বলে  
অচেনা স্বপ্নের নীড়ে জমে যায় অনাবিল প্রেমের সঙ্গীত রজনীগন্ধায় প্রলেপিত নিভৃত হৃদয়
