শূন্যতার নির্জন ভোরে নীরব হৃদয় জুড়ে ফিরে ফিরে রাখে আখ্যানহীন স্বপ্নের আবছা স্মৃতি, ভুলে যাওয়া সঙ্গীতের অনুরণন ম্লান প্রত্যাশার শীতল স্পর্শ।

করুণার শিশির ঝরছে মনে, প্রতিটি অশ্রু এ পাহাড়ের গহ্বরে উদ্বুদ্ধ ক্ষতরূপী প্রবাহ, যেন প্রতিবাদহীন চিৎকার গুমনীরবতার খাঁচায় বন্দী, নিস্তব্ধ অস্তিত্বহীন।

দূরবীক্ষণে বিকল হয়ে গেছে আশা, প্রতিফলিত ক্ষিতিজে ধুসর ছায়া, পার্থিব স্বপ্ন আজ শূন্যতার খোঁজে পায়নি ঠিকানা, অনুভূতির পতিরোধ জর্জরিত অজনে।

গভীর নিঃশ্বাসে ইতিহাসের বিষাদ আর পরিবারের আবড়জোড় সব বিনাশীল শব্দে মিলিয়ে যায় জীবনের সপ্তসুর, অচল অস্তব্ধ অনাড়ম্বর নিষ্ফলা পথহারা অনুসন্ধানী।

প্রতিটি পদক্ষেপ মেঘাচ্ছন্ন পাথরে আটকে, আলো আকুল চোখ ভাঙতে চায় অন্ধকারের জলকূপের গাঢ় আবরণ, অহঙ্কারহীন নিদ্রাহীন তৃষ্ণাজনিত দীর্ঘশ্বাস ঘুমরহিত ঘোর।

হৃদয়ের দরজায় বাজে বিরহের কিরণ, কিন্তু তালার ছোঁয়ায় বেঁধে রাখা আনন্দের কুঠুরী অচল হয়ে যায়, নিস্তব্ধ ক্লান্ত উদাসীন নির্মোম নিপীড়িত।

নিভৃতে সন্ধ্যার পরশমণি চুমে নেয় শেষ আলো, ছায়াময় প্রহরে বিষাদী গোপন মন্ত্র উচ্চারণ করে নিস্তব্ধ চিত্তে, অদ্ভুত ধ্বনি নীরব ঘূর্ণি।

বুকের ভিতর এক অজানা তাণ্ডব, প্রত্যাশাগুলো ভাঙা পাতায় পরিণত হয়, সারল্য আর সাহস হারিয়ে গেছে নীরব নিষ্প্রাণতার আবরণে, অভিশপ্ত নিস্তেজ।

অতীতের স্মৃতি রক্তিম রঙ হারিয়ে পালিয়ে যায় অচেনা অন্ধকারের আঙুল ছড়িয়ে দেওয়া প্রলেপে, বেদনাবিহ্বল সংকীর্ণ প্রাণহীন শূন্যচেতনা দীর্ঘনিশ্বাস ঘণ্টারোক্ত নিস্তব্ধতায়।

দীর্ঘায়িত দিনরাত্রি তলিয়ে আনবে না আর কোনো দৃশ্য, শুধুই নিরাশার জলছবি, মিশে যাবে সবই সাজ-পোশাকে ছুড়ে ফেলা অধ্যায়ে, অপরিণাম নিষ্ফলা।

মরুভূমির সৌরভ ছুঁয়ে যায় বর্তমানের শুভ্রতা, বলা যায় না আর কোথায় নির্ভর করব এই নীরব মাতাল আবোলতাবোল ভুবনে, অকারণ শূন্যতা।

প্রতিধ্বনি বাইরে থেকে নয়, অন্তঃস্থল থেকে আসে দৃঢ় প্রতিজ্ঞাহীন উদাস আত্মার করুণ আর্তনাদ, নিরুদ্দেশ্য নির্মম নিস্তব্ধ বেদ্যন অন্তহীন নিরাশ্রয় বহিঃশব্দহীন।

মননের কাটাকুটি আঘাত করে চিৎকার করে যে, বৈপরীত্যহীন এক নিশ্চুপ গহনিকে, কোথায় ফাঁকি দিয়ে পালিয়ে যাবে অভূতপূর্ব শূন্যতা? নিষ্টুর।

প্রেম ইট-গুঁজে দেয়েছিল আবাস, এখন সেই বাসিন্দারা ভেঙে পড়া দেয়াল ছিন্নভিন্ন করে হাঁটছে নিঃশেষের দ্বীপে, অদৃশ্য বিভীষণ নির্জনতা শূন্যচিহ্ন প্রশ্নবিহীন।

তবু শেষ সময়ের আগমনী রাতে একটা শব্দ উঠে আসে: সম্ভবকথার ফুসফুসে জীবন্ত অণুরাশির গতিবিধি, নিস্তেজ ছায়াপথে নির্বাক অচেতন অনিচ্ছা অসমাপ্ত।

কিন্তু সেই শব্দই চাপা পড়ে যায় ভাঙা প্রাসাদের গম্ভীর স্তব্ধতায়, কোনও প্রতিক্রিয়া নেই, কেবল অস্পষ্ট আগ্রহহীন শূন্যতা, নিষ্ফল অপরিব্যক্ত অবিরত।

এতদূর এসে হতাশার গহ্বর জাগে প্রশ্ন: তুমি কি শুনবে না? আমার চিৎকার কি কিছুতেই ফেরানো যাবে আলোয়? উত্তরহীন নিঃশেষ নিস্তব্ধ।
