নীল আকাশে লাজুক পথে উড়ে সোনার পতাকা দোলায়িত।
সবুজের আঁকায় আমার উচ্চ শ্বাস ফুঁটে অচেনা স্বপ্ন।
গভীর নিশ্বাসে সূর্যরশ্মি শিহরণ তুলে আনে মধুর আহবান।
মাতৃভূমির ছোঁয়ায় হৃদয় হয়ে ওঠে বীর দীর্ঘ মুক্তিযোদ্ধা।
মাটির গন্ধে জাগে স্বাধীনতার অমলিন উজ্জ্বল ইচ্ছার বীজ।
মেঘের কোলে বয়ে যায় সংগ্রামের দীর্ঘ অমলিন রেখাচিত্র।
দেশপ্রেমের জ্বলন্ত অমল প্রদীপ প্রাণে জ্বালিয়ে দেয় আশা।

বঙ্গবন্ধুর স্বপ্নে সিক্ত মাটিতে বেড়ে ওঠে উদীপ্ত সাহস।
অত্যাচারের অন্ধকার ভেঙে দিয়ে জাগে দিগন্তের নব আলো।
বাংলার রক্তে লালিত শপথে যুদ্ধে ওঠে অদম্য মন।
ভাষা ফুল ফোটায় হাল ছেড়ে না বীরদের হৃদয়।
গোপালগঞ্জের শীতল হাওয়া উষ্ণ করে সকল মমতা অন্তরে।
শহীদদের স্মৃতিতে জাগে বীরত্বের পরাক্রমের অটল অমল অগ্নিস্তূপ।
মরুক বন্দুক নয়, কেবল মাতৃভাষা দিয়েই লড়াই সফল।

কমলাপুর রেল সিড়ে দিয়ে বয়ে গেল গৌরবময় গল্প।
নীরব প্রহরে বাজে বীরের ধূসর দীর্ঘ স্বপ্নের আহ্বান।
শহীদ মিনারের সম্মুখে দাঁড়িয়ে পায়ে ধরা সবুজ গমগম।
পৃথিবীর বুকে যেন বাজে স্বাধীনতার মধুর অমলিন কলরব।
আলোর দিগন্তে জ্বলজ্বল করে লাল-সবুজের অমল উৎসব গান।
নদীর তীরে শুনি মা-বোনের নীড়ের কোমল ছন্দ আকুতি।
প্রাণের ছোঁয়ায় গড়ি নতুন প্রজন্মের স্বাধীন অমলিন সোপান।

খেতের বাওয়ালি দেখি স্বপ্নের নবীন মেঘেরা ঘুরে বেড়ায়।
হাওরের জলছায়ায় ফুটে উঠে স্বাধীনতার দীর্ঘ মধুর রচনাকাব্য।
দেশজুড়ি ফোটে অজস্র হাসি, অশ্রু আর гৌরবের মিশেল।
অগ্নিস্নাত মুক্তি-মন্ত্রে সিক্ত সব হৃদয় উজ্জ্বল অমলিন দিব্য।
উত্তাল অদম্য তরঙ্গের গতিতে ছুটে চলি স্বাধীনতার পথে।
অরুণ আলোয় মৌন স্নাত করে নব ভোরের স্বপ্নজাগরণ।
একটার বন্ধনে বেঁধে রাখি আমাদের অটল অমলিন অঙ্গীকার।

বাঁশির সুরে জাগ্রত হয় স্বাধীনতার দীর্ঘ гোপন ঠিকানা।
পল্লবিত পাতায় বোনা দীর্ঘ স্বপ্নের দীপ জ্বালিয়ে রাখি।
মনিরাময় অমলিন অনুভূতির অনন্ত ঢেউ বয়ে যায় প্রাণে।
যুদ্ধের পাঁজরে জ্বলেছে অদম্য উজ্জ্বল রক্তিম দীপ্ত অগ্নিপ্রিয়া।
প্রজন্ম ঘোষণা করে নতুন দিনের শুভ আলোর অঙ্গীকার।
রবীন্দ্রনাথের লীরিতে বাজে অবিচল মধুর জাগ্রত দেশপ্রেমের সুর।
মহাকালের স্রোতে বয়ে চলি অন্তরের অমলিন হৃদয়বেদনা নিয়ে।

সোনার বাংলা গড়ার অদম্য স্বপ্ন নিয়ে এগিয়ে চলি।
সবুজ মাঠে দেখি স্বাধীনতার আলোকজ্জ্বল অমলিন বীজ বোনা।
জীবনের স্রোতে অগাধ ভালোবাসা ভাসায় দীর্ঘ দেশপ্রেমের ঢেউ।
হৃদয়ে গহীনে ভবিষ্যতের অমলিন তরঙ্গের সঙ্গীত মধুর বাজে।
আলোর প্রদীপ হাতে ধরে আঁকি স্বপ্নের নতুন রেখা।
প্রত্যেক শব্দে ভাসে অদম্য অমলিন ভালোবাসা মাতৃভূমির প্রতি।
দীর্ঘ দিন পর দিন মেলে ধরছি মুক্তির আলাপন।
