পৃথিবীর প্রত্যেক কোণে লুকিয়ে আছে মানবতার অদম্য শোক্তি, দৃঢ় ইচ্ছাশক্তি, প্রতিশ্রুতি  
এক ব্যক্তি যখন অন্যের ব্যথা অনুভব করে, সেখানেই ফোটে সহানুভূতির আলো  
ভালোবাসার বাঁধন যে হৃদয়ে ভাঙাতে পারে সব বিভেদের দূরত্বকে অবসান ঘটায়  
সেবা, দান, করুণা মিলিয়ে বুনে যায় আমরা এক সেই দ্যুতিময় সুতোয়  
প্রতিটি দেখা চোখে খুঁজে নেয় অন্যের আশা, স্বপ্ন, সম্ভাবনার অমলিন রং  
বন্ধুর শরীরে যখন মিশে যায় অপরের অবুঝ মমতা, কষ্টভোগ, দায়িত্ববোধ উচ্চারণ করে  
অচেনা পথিক পায় ঘুম ভাঙ্গা চোখে অবিরাম আশা জুড়ে নতুন সূচনা  
দুর্নীতি, লোভ, বিদ্বেষ চেপে ধরে মানবিক বন্ধনকে পান্ডুর রেখায় অন্ধকার বিন্দুতে  

তারপরও মানুষ উঠে দাঁড়ায়, স্মরণ করে একতার পুরোনো গান একান্ত স্বরে  
শিশু’s অসম্ভব প্রশ্নে উত্তর খুঁজে পায় অবাধ্য মন উচ্ছ্বসিত রঙিন ভাবনায়  
বৃদ্ধের আঁচল থেকে পড়ে এসে মিলন গাথা গেয়ে ওঠে প্রেমের সুর  
অনাথালয়ে এক ফোঁটা হাসি পান পাগল মনের ভালোবাসার অবিরাম আলোকিত ধারা  
শহরতলির দৌড়ঝাঁপে উত্তাল হৃদয় খুঁজে পায় শান্তির সরল ছন্দে গোপন বিচরণ  
দানবীর হাত থেকে উদ্ধার পায় ক্ষুধার্ত ওই ছোট্ট হাসিমুখ জাগ্রত জীবনচেতনা  
নদীর ধারে বসে একুশ লক্ষ জ্বলন্ত মেমোরি প্রজ্বলিত তারুণ্যের আশার ছায়া  
দুহাতে বেঁধে রাখে পৃথিবীর বুকে মমতার অপরাজেয় মায়ার আলোচিত্ৰ আবির্ভাব  

অন্ধকারের গভীরে একলা মাঝির হাঁক শোনায় মানবতার সিন্ধুস্নাত চেতনাবিজড়িত আলোর প্রত্যয়  
ক্ষুদ্র শিশুপায়ে দাপটে হাঁটে নীরব উষ্ণতার অমলিন জীবন্ত শব্দহীন দিশাহীন আর্তনাদ  
উদ্বোধন করে হৃদয়ের দরজা, বন্ধ গৃহের চিবুক ছিঁড়ে সম্ভাষণে মুক্ত সূর্য  
বুকের মধ্যে চোট বিষাক্ত হলেও সহৃদয়ের অমোঘ সবুজ মালা বিন্দুতে ফোটে  
প্রতিটি শেখা দিন সে শাসন দেয় দয়া, মেনেছে অংশীদারিত্বের অবিচল শিক্ষা  
মহাসাগরের অভিমুখে নৌকা ভাসে নীরব, তরঙ্গে অন্তহীন সুরে করে মানবতার গান  
ডাক এল দূর বসন্তের, কণ্ঠস্বর জুড়ে ওঠে সংস্কারের নির্ভীক উদাত্ত বাণী  
শেষ প্রহরে শান্ত নীরবতার মাঝে ফোটে মানবতার অনন্ত আলোচিত চিত্র সূর্য  

অবিরাম জলে বয়ে চলে মানবতা, নির্ভেজাল নবীনা জলধারা শান্তি বয়ে আনে  
আগন্তুকের দুহাত স্পর্শ পায় বন্ধুর নিবেদিত মমতা ভরে যায় হৃদয় মহিমায়  
অগ্নিকুণ্ড পোহানে হাত ধুয়ে সে ফিরে পায় নিজেকে অমূল্য মানবিক করে  
উল্লাসের গর্জনে গাই এক নবজাগরণ, ভয়কে ছাড়িয়ে যায় অঙ্গীকারের অমৃত ভালোবাসা  
মায়ের দোয়া ঝরে পড়ে ভূমির গায়ে, জন্ম দেয় এক স্বচ্ছ চোখে  
প্রতিবন্ধী বধির ধূসর বুকে জ্বেলে রাখে এক মহিমার আলোর অমল প্রদীপ  
রক্তাক্ত যুদ্ধভূমি শোনে শান্তিনাদ, মানুষের পরম দ্যোতক উদাত্ত নির্মল সূচনা হয়ে  
শেষ ধাপে মানবতা বাঁধে মুকুট, জিলিকে চিরন্তন মানবিক অমলিন ভান জ্যোতি
