দুঃখের অন্ধকারে নিমজ্জিত হৃদয় নীরবে রিশভার খুঁজে ফেরে তার হারিয়োনো স্বপ্নগুলো।  
নীরব বাতাসে ভেসে আসে অনুযোগের গর্জনময় পলাশের সুবাস, স্বপ্নছাড়া অশ্রুপাতের মর্মর।  
প্রান্তরে একা ফেলে আসে অবিরাম বিপন্ন উজাগর স্মৃতির আলিঙ্গন বেদনার প্রতিধ্বনি।  
রাতের উষ্ণ আঁধারে জাগে পুরনো দুঃস্বপ্নের ছায়া। নিভৃত হৃদয়ের বাজে বেদনার।  
অশ্রু ঢেউয়ে ভাসে টলমল করে বিনশ্বর ভালোবাসা, ম্লান আলোর সূর্যোদয় অভাব।  
প্রতিটি পদক্ষেপ তার পেছনে অবিরাম বিপন্ন উজাগর বেদনার নিভৃতে আঘাতের দোলা।  
চাঁদের আলোয় নেচে ওঠে তরে দেওয়া শোকের ছায়াময় লাল, ধবধবে নীল।  
বেদনার আঁখি ভরে ওঠে অশ্রুজলের নির্মম রংকল্পনা, অস্থির দূরত্বের প্রতিধ্বনি নীরবতা।  
হিমবাহের গোপন ঝরে পড়ে হৃদয়ের গহীনে শূন্য পলকে জেগে বেদনাকাব্য।  
স্মৃতির ধারে ভেসে আসে একাকীত্বের ঝিকমিক নিষ্ঠুর নিশ্বাসে ভরা পাখি।  
তার চোখে অশ্রু ঝলমলে, স্মৃতির বীণায় বাজে শূন্যতা, কাঁদে বাতিঘর বেদনার।  
প্রতীক্ষার প্রহরে ফেটে যায় নিঃসঙ্গতার দগদগে প্রদীপ, অশ্রুস্তবক জ্বলন্ত ছায়ায় মিশে।  
অমল চোখে ঢেউ তুলে দেয়াকালীর সেকেলে শাস্ত্র, কাঙ্খিত ব্যথার অভিশাপ মর্মর।  
নির্জন বালুচরে ফুটে উঠে স্মৃতির একবারি বৃন্তচিহ্ন, অধরা আলিঙ্গন নুড়িদানা বেদনার।  
বোকা জলে মন সাঁতার কাটে তলিয়ে যাওয়া প্রিয়তার তলে, নিভৃত কল্পনার।  
দেহের ভাঙ্গা কোষে জমে থাকে বেদনার ছায়াময় অণু, নিঃস্ব প্রেমের বিঁধনে।  
গভীর নিঃসৃত রাতে শোনে দুঃখের অমৃতসংগীত, অচেতন স্পন্দনে বেজে যায় বেদনার।  
পথহারা পায়ে বাজে বিষাদপর্ণ পাতার বদনাম, নিস্তব্ধ মনস্তাপে উল্কির টান বেদনার।  
বিক্ষিপ্ত আলোর রেখা বলে যায় লাগামহীন অভিমান, নিঃস্ব রাগের স্যোঁত জ্বালায়।  
নিঃশব্দ আশ্রয়ের কোণে বসে হিমঘুমে সুরেলা শোক, ছায়াছন্ন মন ঝিমিয়ে বেদনা।  
ক্ষয়ে যাওয়া নিশীথে বাজে একাকিত্বের ব্যর্থ নিশ্বাস, অন্তহীন বেদনার আশ্রয়ে মিশে।  
অনাদরিত হৃদয় উড়ে যায় শূন্যের বুকে সোজাসুজি, নিঃস্ব বেদনার জাল বেয়ে।  
প্রলেপহীন স্মৃতি জোালে আঁকড়ে ধরে ক্ষয়ের আভাস, কঠোর শূন্যতার সুর বেদনার।  
আশাভঙ্গের তরু ঝরে ফেলে অশ্রুজলের কাহিনি, নিঃস্ব প্রেমের ছায়া নিভৃতে জ্বলায়।  
হাহাকার মিশে যায় ব্যর্থ প্রহরের প্রতিটি স্পন্দনেই, নিঃচৈতন্য বেদনার গীতি দুঃখের।  
অনিবার্য সময়ের স্রোতে বিলীন হয় ভালোর আশা, নীরব বেদনার অঙ্গীকার ম্লান।  
ঐ নিশ্ছিদ্র নৈঃশব্দ্যে খুঁজে ফের ধ্বংসের প্রতিচ্ছবি, নিঃস্ব প্রেমিকা মনের অশ্রু।  
অন্তিম স্পর্শ ছুঁয়ে যায় নিঃস্ব স্বপ্নের ধূলিপাথর, শূন্য বেদনার লুহ জাগায়।  
বিষণ্ণ ফাগুনে হেরে যায় হাজার ভোরের সবুজ আশা, বেদনার নিশ্ছিদ্র চাপা।  
অমন গভীর দ্যুতি লুকায় শুধুই ব্যর্থ মানুষের ব্যথা, নিঃস্ব বেদনার নাচন।  
বেদনা ভরা এ জীবনের শেষ পাতা ফিকে হাসি, নিঃসঙ্গতা বেদনার গাথা।  
চিরকালের শূন্যতায় মিলিত হয় দুঃখের রক্তাক্ত বন্দনা, নিঃস্ব আশার শোকালাপ বেদনা।
