দীর্ঘ নিশ্বাসে বেঁচে আছে সব ক্রন্দন আর বিষণ্ন পুরনো স্মৃতি  
চোখে জমে থাকা অশ্রু বইছে নদীর মতো অলস ম্লান গতিতে  
মনে ভেসে আসে একাকিত্বের গদ্য আর নিঃশব্দ দূর্বোধ্য আহ্বান মুহূর্তে  
নিভৃতে হৃদয় আঁকড়ে ধরে বিষাদের গ্রন্থি অমোঘ স্পন্দনে নিঃশব্দে অচেতন  
প্রত্যেক ঢেউয়ে সমাহিত আমার ছড়িয়ে পড়া উঁচু কান্না নাভিতে অশ্রুজল  
আলোকছায়ার খেলায় হারিয়ে যাওয়া আশার ম্লান অবশিষ্ট রেখা নিস্তব্ধ মাঝে  
কী বাতাস বয়ে নিয়ে আসে দুঃখের গীত অশ্রু ফোঁটা পথিক  
নীরবতা সাড়া দেয়, অঝোরে বয়ে যায় স্মৃতিবিহীনতা নিস্তব্ধ অন্তর্লীন ছোঁয়ায়  
পথ হারানো পায়রা ফিরছে আগুনে ভেজা প্রতীক্ষায় নিঃশেষে নিষ্ঠুর সুরে  
ম্লান চাঁদের আলোয় ফুরোবে না দুঃখের অগ্নিশিখা নিভৃতে অন্তহীন তীব্র  
রাতের আঁধারে শুনি আমার ছায়ার জ্বলন্ত চিৎকার নিঃস্ব বিদীর্ণ ব্যথার  
মহাকালের গহ্বরে খুঁজে পাই অচেনা বেদনার উত্কণ্ঠা নিস্তব্ধ অভিরাম সরণি  
স্বপ্নগুলোর বিন্দু বিন্দু ভেঙে পড়ে অস্থির হৃদয়ে ধ্বংস কেবল বিপর্যয়  
ধুলোর ছায়ায় জ্বলছে নীরব বেদনার একাকী অগ্নিজ্বলন্ত প্রদীপ তিমিরে অন্তহীন  
নিস্তব্ধ বাতাস দোলা দেয় কপালের আঁচড়ে স্মৃতিচিহ্ন চিরন্তন শূন্য বেদনার  
নদীর পাড়ে ফালা ফালা হাটে স্বপ্ন গুলি পচে যায় বিরহে  
হারিয়ে যাওয়া গানগুলি গুহা বন্দী করে রাখে ছিন্ন কোণে নিস্তব্ধে  
প্রহর গোনা বুটে পড়ে বেদনার ছায়া দেহে লাগাজাগি অগ্নি লেগে  
প্রতিটি প্রতিসর্ষণে বয়ে যায় অন্তহীন বিষণ্ন একাকীতা নিঃশেষ সময়ের স্পন্দন  
স্বতঃস্ফূর্ত না হলেও হৃদয় চায় আশার প্রলেপ ফেলে বেদনা গন্ধ  
কিন্তু ধুলোয় মিশে যায় প্রত্যাশার শরীর অচেনা উড়ে নিঃশেষে অনুভূতি  
নতুন ভোরের আলো আরেকবার না জ্বালায় দুঃখের প্রদীপ নিঃশেষে যত্নে  
হারানো সুরের ছন্দ খুঁজে বেড়ায় পথহারা মন ছায়াময় নিঃশব্দে নিঃশেষে  
জীবনে না লিখা টানাপোড়েন ফুলের গায়ে ঝরায় রক্ত নিঃশেষে ব্যথাময়  
ধ্বংসস্তূপে দাঁড়িয়ে দখিনা বাতাসে শিউরে ওঠে মন নিস্তব্ধে নিঃশেষে অন্ধকারে  
খেয়াল রাখে না আর কোনো আশা বুকের গভীরে শুয়ে নিঃস্ব  
কালের বৃত্তে বন্ধ ভালোবাসা খুঁজে পায় দুঃখের আঁকড়ে নিঃশেষে নির্বাসিত  
তবু ভেঙে পড়ে না বুকের ভরসার শেষ সপনজাল নিঃশেষে নিঃশ্বাসে  
অনন্তকাল পায় না নিরাশার ঢেউ কখনো মুচে যায় নিঃশেষে নিঃস্ব  
ফিরে আসে দুঃখের কণ্ঠে ঝংকার আর অশ্রুস্রোতে নিঃশেষে নিঃশব্দে অম্লান  
তবু বিশ্বাস নীরবতার মাঝে পুষে রাখে প্রাণের আঁচ নিঃশেষে নিঃস্ব  
একদিন হবে হাসির ঝিলমিল ছড়াবে বিষাদের নীড়ে নিঃশেষে নিঃশব্দে স্বপ্নজালে
