নিষ্ঠুর অন্ধকারে সোজা পথে হাঁটে ন্যায়ের পা, অদম্য স্বপ্নের অগ্নিপথে  
অবিচারী ফাকল জ্বলে শূন্য গলায় নিঃশব্দে অজব বেদনায়, মরু ধূলিকণায়  
সমতার সাধক হৃদয় মিলে চ্যাড়া দেয় অন্যায়ের বেঁধে রাখা গ্লানি  
নীরব প্রতিজ্ঞা ফোটে ছায়াময় অঙ্গে দীপ্ত শ্রদ্ধায়, দুর্জয় সুরে প্রাণময়ী  
হত্যিত হাসি মুছে দেয় একেবারে সত্যের নির্মল নির্ভেজাল জলে ভাসিয়া  
সংগ্রাম জাগে কণ্ঠে অদম্য আগুন ছড়িয়ে দেয় অবিচল নবীন শক্তি  
ভাঙে ঢেউ বেদনার বেধে আঁধার, গলায় মুক্তির গান গাওয়া হয়  
শিশির বিন্দু জড়ায় রক্তমাখা মাটির বুকে ন্যায়ের বীজ গভীর বপন  
ক্ষুধা পিপাসার প্রহরে অমোঘ সুর নরম ঝংকার পায় মানবাধিকারের ছায়ায়  
পতিত হাসি মুছে দেয় একেবারে সত্যের নির্মল নির্ভেজাল জলে ভাসিয়া  
পরাধীন মন ফিরে পায় নিজের অধিকার এ মৌন বন্ধন ভাঙিয়া  
হাসে শিশির ভোরবেলায় ন্যায়ের নবীন লহরী ছুঁয়ে ওঠে দীপ্তিময় বিশ্বমণি  
একাকী যোদ্ধা নয় সবাই মিলে গড়ে তোলে ন্যায়ের অটুট দুর্গ  
প্রায় উজ্জ্বল পচে যাওয়া স্বপ্ন জেগে ওঠে রক্তিম সাহসী মাথায়  
মেলে ধরে শিকড়ে বিশ্বাস কলকল ধারায় করে ন্যায়ের রক্তিম স্রোতে  
অভিযোগের নীরব পাহাড় ভাঙে কণ্ঠে জাগ্রত শক্তিশালী অমোঘ অপরাজেয় মুক্তি  
আয়ত্বহীন কত দীর্ঘ দিন বিষাদময় ফাঁদে আটকে ছিল মানবতার হাসি  
মিছিল বয়ে চলে আশার সুরে ধরা দিয়ে অন্যায়ের শিকল ভেঙে  
দুর্জয় উজ্জ্বল প্রতীকের নয় যুদ্ধ সত্যের পক্ষে ওঠা অমূল্য প্রতিবাদ  
সপট মুখে হেসে ওঠে বান্ধবীর মতো উজ্জ্বল ন্যায়ের অদম্য আদিবাসিনী  
নীরব দলীয় আজগুবি ভালুক থামায় শুধুই নির্ভীক ন্যায়ের অমোঘ তীর  
অবলীলায় লুটে নেয় দমবন্ধকর নিরঙ্কুশ কুসংস্কার অদমনীয় পাখা ছেয়ে ছেয়ে  
ভয়ানক বিভীষিকায় টংকান্ত গলা বাঁধে অমলিন মানবতার উজ্জ্বল মুক্তির শ্লোক  
সত্যের দুধারে দাঁড়িয়ে নির্জন আঁধারে জ্বলে অম্লান প্রত্যয়ের অমোঘ প্রদীপ  
ভ্রান্তির বীজরোপণ থামাতে মানবচিত্তে জেগ্রত হয় উজ্জ্বল ন্যায়ের অমোঘ ছন্দ  
সুরাহা সে আলোকিত সন্ধিক্ষণে ন্যায়ের তালে মন্ত্রমুগ্ধ বাজে উদ্ভাসিত ইতিহাস  
অনুভব সুখোক্তিতে লালন করে উদার স্বপ্নের অমোঘ উড়ন্ত আকাশপুরী পাখি  
অবশেষে আসে নীরবতার চেয়েও অমলিন উজ্জ্বল ন্যায়ের অমোঘ করুণ আড্ডা  
সর্বক্ষণ অনিবার্য রক্ষা করে তেজস্বী ন্যায়পরায়ণ অন্তরের অমোঘ দীপ্ত যজ্ঞ  
লালন করে অভিন্ন নতুন ঠিকানা যেখানে ন্যায়জমিনে ফোঁটা ফোঁটা শান্তি  
সোনালি বিকেলে গলাই অবাধ অম্লান ব্যঞ্জনা ন্যায়ের অনন্য সুরেলা সঙ্গীতে  
হৃদয়ে জাগুক অদম্য দৃঢ় সংকল্প অন্যায়ের ঘর আজীবন ধ্বংশ করো  
মানবতার কল্যাণে বক্ষে বক্ষে জুড়ুক ন্যায়র অমোঘ সরণি উষ্ণ উন্মাদনা  
শেষ অক্ষরে লিখি অদম্য নাম ন্যায়ের, অবিনশ্বর চিরন্তন থাকবে মানবতা
