দীর্ঘ নিশে জমে মনের ঘাটে বিষণ্ণ স্রোত বয়ে;  
ভালোবাসার বেদনায় ভেঙে পড়ে নিঃসঙ্গ হৃদয় জনশূন্যে ছায়াশূন্যে।  
অশ্রুর দাবী মুছে দেয় চাঁদের নীরব দীপ জ্বলে;  
শূন্যতার কোলজুড়ে গড়ে তোলে অচেনা অতলে বিচ্ছেদের গান।  

আকাশের বুকে আঁকা কালো ব্যথা ছড়িয়ে পড়ে চুপচাপে;  
দূরবর্তী স্মৃতির রেশে ভেসে যায় অবিরাম আগুনের চিঠি;  
অন্তরের অগ্নি জ্বলে ক্ষয়ে যায় শব্দের বাঁধন ভাঙিয়ে;  
নিঃস্বার গুনাহে ভাসে আমি অজানা বেদনা নিয়ে নীড়হীন।  

সবুজ পাতায় লুকায় মুখরিত দিনের রঙিন অসহায় দুঃস্বপ্ন;  
স্বপনের আড়ালে বাজে অভিশপ্ত পায়ের শব্দ বেদনার প্রহরী;  
নিশিরাতের নীরবতার গান শুনি হৃদয় ভেঙে গেল অন্তহীন;  
সঙ্গহীনতার সুরে বাঁধা প্রতিটি ছন্দ কেঁদে চিৎকার করে।  

পাহাড়ের মতো ভারী হয়ে সব কিছু চাপা পড়ে মনটায়;  
শূন্যতার ছায়ায় জ্বলে চোখের মিনার একাকী নিভে যায়;  
প্রেমের প্রাসাদ ধসে নিঃস্ব করে ছেড়ে যায় কে উড়িয়ে;  
শূন্য কাগজে লিখি বেদনার অক্ষর অদৃশ্য হয়ে খোঁজে।  

গাছের ছায়ায় লুকিয়ে থাকা হারিয়ে যাওয়া জীবনবিহীন কান্না;  
ঝরা পত্রের পক্ষে বয়ে যায় ওরা নিশ্চুপ অশ্রুবিন্দু;  
ছেড়ে যায় স্মৃতির পালক কাঁদে বেনামী বেদনার চোখে;  
নিঃসঙ্গ স্মৃতিতে ভাসি আমি নীরবতার অবিরাম সুরে বাঁধা।  

চিন্তার ঢেউয়ে সয়ে যাওয়া আর্তনাদ গাহে বুকের অতলে;  
ছায়াময় বেলায় বিদাহী বেদনা ছড়ায় অন্তহীন ভীমশক্তি অগ্নি;  
বিন্দুমাত্র আলোাহীন ঘর জুড়ে বাজে নীরব কষ্টের সুর;  
নিঃশ্বাস বয়ে আনে ভাঙা স্বপ্নের নিদারুণ খোয়ানো পথ।  

অরণ্যের নীরব কাতরতা জাগায় বুকের ভিতর অটল বিষাদ;  
দূরবতী নদী বয়ে যায় অশ্রুবিন্দু সিক্ত তটে নয়ন;  
নিঃসঙ্গ পাখির গান শুনি করুণ সুরে গলবিহীন হাহাকার;  
ছেড়ে যায় অবুঝ হৃদয় কাঁদে অশ্রুসিক্ত অস্তিত্বহীন পথচিহ্নে।  

অন্ধকারের বুকে জেগে থাকে ছিন্নবিচ্ছিন্ন বেদনার উত্যক্ত ছবি;  
ভেজা স্মৃতির কবরে পড়ে নিজেকে খুঁজে পাই গুমোট স্মৃতিতে;  
শূন্যতার ভিড়ে হারিয়ে যায় জীবনের অমল অন্তহীন ধারা;  
নিঃস্ব প্রেরণায় আঁকে মন অচেনা বিষাদের রঙিন রেখা।  

বিষণ্ণতার পাখা মেলায় ঘোরে অন্তহীন বেদনার বাকল অন্ধ;  
ছেড়ে যায় নীরবতার অনুসন্ধান নদীর তীরে বসে নিরুপায়;  
বয়ে আনে ফিসফিস ধ্বনি হারানো কষ্টের নীড়হীন কণ্ঠিশুদ্ধি;  
নীরবতার উড়ান ভেঙে আনে ক্ষেপণাস্ত্র ক্ষয়িষ্ণু অকথ্য ব্যথা।  

তখন মুছে যায় চিকচিকে সব রঙ জীবনের অভ্যন্তরে;  
হৃদয়ের দেয়ালে বেড়ে ওঠে ধূসরতার অট্টালিকা অবিনয়ী সুদৃঢ়;  
বিষাদের জালে গ্রথিত আমি ভারী অবিরাম হয়ে পড়ি;  
শেষ হয় বেদনায় পূর্ণ কবিতা চিরকালের জন্য অন্তসুরে।
