সকালে উঠে ধরা আলো ঝিকিমিকি হাসে বলিতে  
নিঃশ্বাসে সোনা রোদের ডাক সকাল জোরে বাঁধে  
আঁধার ফাটে হিম বিরহ ভাঙল ফুনি চায়  
হৃদয় জাগে তপ্ত বীণা তালে ধীরে সরে  
নিষিদ্ধ শিকলে বন্দী বোধ ভেঙে যায় অচিরে  
শিকা বিদ্রোহের দীপ জ্বলে ঝলক ধরা স্বপ্নে  
অতল খামারের জানাল খুলে সুবাস প্রশান্তি ছড়ায়  
বিপ্লবের সুর বাঁধে গগনে অগ্নিময় প্রভা জাগে  

কণ্ঠে বাজে বাধ ভাঙার ধ্বনি দগ্ধ হৃদয়ে  
ভূমি কেঁপি নতুন আশা সঞ্চারে উদয় দিগন্তে  
চেনা পথ ভুলে এগোতে ভালো লাগে অজানায়  
জঙ্গলের গলিতে মুক্তির গান ঘুরে পথিক ছাড়িয়ে  
শিখরে শিখরে আগুন শিখায় সাহস নবীন উল্লাসে  
নদী খেয়ায় গর্জন উদ্যম লাগে জলে প্রহরায়  
রাতের আঁধার ভাঙে পথে চেতনায় প্রভাতে সূর্যে  
পতাকা তালে তালে লাল আলো ছড়ায় নিশ্ছিদ্রে  

শিশু চোখে নেশা ভালোবাসার উচ্ছ্বাস নবীন ধরায়  
বৃদ্ধ হেঁটে ধূলি ছেঁটে স্মৃতি সেঁপে অনড়  
কৃষক গেয়ে উঠে স্বপ্নের শস্যরাশি প্রান্তরে ছড়িয়ে  
শ্রমিক কড়া পায়ে ধরা ঝাঁকে সাড়া প্রতিধ্বনি  
মনের ভিতর পাথর গলে সে মুহূর্তে অগ্নিবলে জ্বলে  
শাসনের হাত ঝরে যায় পুরনো গড়া ছেঁড়ে  
নীল আকাশ ছোঁয় সংগ্রামী আত্মা আজ জাগিয়ে  
একতার বাণী দেয় নতুন সুর সাফল্য অমর  

প্রতিরোধ গড়ায় শক্তি অটল সংকল্পে বিস্ময়ে আলিঙ্গনে  
স্বাধীন মন আঁকারে রূপ দেয় অতলতায় বিনয়ী  
পতিত ঘাস ফিরে করে পরতে হাসি প্রাণে  
বিদ্রোহ বাঁশি বাজে বাতাসে জাগ্রত সুরে অস্তজাগে  
বিষণ্ন বেদনার অন্ধকার ভেঙে যায় নিমেষে নিভে  
সবার মাঝে জন্ম নেয় এক ভ্রাতৃত্ব অমোঘ  
উঁচু বান্ধাত ঘাড়ে তুলে নতুন স্বপ্নে অগ্রজোড়ায়  
আশা দীপ জ্বলে প্রতিদিন বিকালের পারে নিভনাহিতে  

মাটি খোঁড়ে ওঠে গাছ দিগন্তে আঁকে ছায়া  
শহুরে জানাল ভেঙে ডাকে মুক্তির আর্তনাদ গম্ভীর  
শিল্পী তুলিতে আঁকে উত্তাল মানবতাকে অন্তহীন জাগিয়ে  
শিক্ষক স্বপ্ন মেলে তরুণ মনে দোলা প্রেরণায়  
যোদ্ধা পথিক চরে ইতিহাসে অমরে লালিত তীক্ষ্ণ  
হাতেগড়া সিপাহী গান গায় অটল হৃদয়ে উচ্ছ্বাসে  
দখলের বেড়ি ছিঁড়ে আসে নব উৎসব শতদৃপ্ত  
সময় এর চাকা ঢেলে সাজে নয়া আদর্শে আনন্দে  

কোথাও শির উঁচু সত্যের চিহ্ন খুঁজে খুঁজে  
কোথায় অন্ধকার ঢেকে রাখলো মুক্তির আলো নির্ভয়ে  
প্রশ্নে প্রশ্নে জাগে বিক্ষোভের আগুন উষ্ণভাবে জ্বলতে  
আমরা গড়ে তুলি এক নতুন স্বপ্নের শহর  
ঐশ্বর্য মুক্তির দামামা বাজে বুকে অবিরাম তালে  
গর্জন লাগে বীরের আশ্বাস অটল চেতনায় জাগ্রত  
বিপ্লব লিখে দেয় ইতিহাসের পাতায় অম্লান উজ্জ্বল  
আমরা যুক্ত করি হৃদয়ের আহ্বান এপথে অবিচল
