চাঁদের আলো যেন দীপ্তি দেয় সততার অটল পথে।  
অন্ধকার বিলীন করে মনোজগৎ করে প্রফুল্ল প্রাণ হৃদয়ের।  
সত্যের পদচিহ্নে অবিচল এগিয়ে চল ভালোবাসার অমলিন অটল সাথী।  
দ্বিধাহীন বিশ্বাসে গড়া আত্মার অটল অমলিন অটুট মর্যাদার ভিত্তি।  

নির্মল ঝরনার জলে ভেসে যায় অন্তরের ক্লান্তি উদার সারানো।  
স্বচ্ছ প্রতিফলনে আবীর মিশে যায় জীবনের অপলক উজ্জ্বল আশা।  
মিথ্যাচারের ছায়া বিলীন হয় সত্যের দীপ্তিতে অশীতিপর অটল।  
সততার সীমানা ছাড়িয়ে ছড়িয়ে পড়ে বিশ্বাসের অমলিন মধুর আলো।  

যারা দৃঢ় স্বপ্নপথে লড়াই করে সগাঁথা লিখে অমলিন মহারথী।  
সত্যের পতাকা উড়াতে হয় ধৈর্যের অদম্য অভিজ্ঞ বীর তলোয়ারে।  
কষ্টের আগুন পুড়িয়ে দেয় মিথ্যার অশুভ ছায়া নির্বাক নিস্তব্ধ।  
নির্ভীক ধৈর্য্যে জয়লাভ হয় যত অন্ধকার অদৃশ্য দূরে নিখুঁত।  

সততা গড়ে তুলবে বন্ধুত্বের অবিচল অটল অমলিন মজবুত সেতুবন্ধন।  
সত্যের শপথে শপথিত হয় না নীরব প্রহরে কখনো অন্তরালে।  
বিশ্বাসের পাথর ভর করে দেয় দিগন্তের অসীম অটুট স্থিতি।  
মানবতা হাসে সততার অবিচ্ছিন্ন অমলিন মঙ্গলময় আলিঙ্গনে অক্ষয় স্নેહে।  

আত্মসম্মান জাগে যখন সততার অপরাজেয় নিষ্কলুষ সুর বাজে প্রাণে।  
মিথ্যার করুণা ফুরিয়ে যায় দূর অচেনা অন্ধকারে শূন্যতায় দেশে।  
সত্যবাণীর মুকুট মাথায় পরলে প্রাণ পায় অমল অবিরাম মুক্তি।  
নির্ভেজাল বিশুদ্ধ বিচারে নিশ্ছল নিশ্চিন্ত পায়ে এগিয়ে চলছে জীবন।  

পৃথিবীর বুকে খুঁজে পাবে তুমি সততার অমলিন প্রভাতের দীপ।  
যেখানে সত্যের জ্বলছে শিখা অমোঘ শুদ্ধ অদমনীয় অগ্নি দঞ্জয়ী।  
মানবতার অগ্নিপাতে পুড়ছে মনের ম্লানতা নির্বীণ অন্ধকারে মুক্তি নিচ্ছে।  
আনন্দে ভরে ওঠে সত্যের নব অপরাজেয় অমলিন বিজয়ের সূচনা।  

মিথ্যার অলস সুরে কখনো নীরবে বিশ্বচক্র সাড়া দেবে না।  
সত্যের অননুমোদন পথিক পায় সর্বদা নিষ্কলুষ অদম্য অপরিহার্য আলো।  
অসত্যের কর্ণফুলী জমে গাঢ় ধোঁয়া, ছড়িয়ে বিষের গাঢ় গন্ধ।  
নির্ভেজাল সত্যে ভেসে ওঠে প্রাণের অটল অমলিন নির্জল গান।  

আলো-আঁধারিতে ভেসে উঠে মনের অমলিন অবিচ্ছিন্ন স্বচ্ছ নির্ভুল আয়না।  
সেখানে সত্যের প্রতিফলন এক মুহূর্তে হার মানে না কখনো।  
মিথ্যার স্তর ছিন্ন করে দেয় অপ্রকাশ অলীক অদৃশ্য চিহ্ন।  
সততার নীরব বাক্যে গড়া জীবনের অমলিন অম্লান অমর শিল্পকর্ম।  

সত্যের যজ্ঞে দান করি হৃদয়ের অমূল্য অক্ষয় পবিত্র ধন।  
যার বিনিময়ে রক্ষা পায় মানবতার শ্রেষ্ঠ অমলিন অপূর্ব কীর্তি।  
মিথ্যা চিরতরে হারায় তার কলঙ্কময় অমঙ্গলময় অভেদ্য অমলিন আবরণ।  
সততার শপথে গড়ে ওঠে নব্য দিনের অপরাজেয় অম্লান আলোকরাশি।  

সততার ধর্মে বাঁধা থাক আমার শেষ নিশ্বাস অমলিন অখণ্ড।  
মিথ্যার অজল অন্ধকারে হারিয়ে যাক সব লালসা ম্লান অমঙ্গলময়।  
আত্মার ডাকে বিমোহিত হোক বিশ্বচক্র অমর অখণ্ড অমল অপ্রতিরোধ্য।  
সততার পথে জয় মন্ত্র, অটুট অক্ষয় অপরিহার্য থাকবে আজীবন।
