ন্যায়বিচার সে আলোর দীপ, আঁধারে পথ দেখায় নির্ভয়ে  
হৃদয়ের কাছে সে নীরব ধ্বনি, শান্তির কল্যাণ বয়ে আনে  
বিচ্ছিন্ন সব আশা জোড়ায়, অন্যায়ের ছায়া দূর করে গেছে  

আকাশের নীল তীলাকের মত স্বচ্ছ, ন্যায়বিচার হাতে রোদ ঝলমল  
ভালোর প্রতি সে অঙ্গীকারবদ্ধ, অশ্রু মুছতে দেয় প্রতিশ্রুতি  
দণ্ডের অভিশাপের আঁধার ছিঁড়ে, নূতন যুদ্ধ শুরু সাহসের গগনে  

পৃথিবীর দরিদ্র বুকে, ন্যায়বিচার যেন খুঁটি সেতুবন্ধন শক্ত  
হীনতার শিকল ছিঁড়ে ফেলে, আশার রঙ তুলিতে আঁকে  
বিপদের কুলাহলে সে গায়, শান্তির হেমন্তে সুর তোলে  

আদালতের সিন্ধান্ত নয় শেষ কথা, ন্যায়বিচার হৃদয়ে বোনা  
অমোঘ সত্যের পাখি উড়ে যায়, মিথ্যার সঙ্গীত ভেঙে দেয়  
নিরীহের কণ্ঠে সে হাতছানি দেয়, আঁকে নতুন আকাশ  

বাঁধা থাকে না মূল্যবোধে, ন্যায়বিচার মুক্ত ফুঁটে ওঠে  
জিপসির পথে বীজ বপন করে, মানবতার বিকাশ সাধায়  
নিঃস্বार्थ ভালোবাসায় খুঁজে পায়, সুবিচারের অমৃত বিসর্জন  

সকলের সমান অধিকারের তরে, ন্যায়বিচার গাথা হয় অটল  
নদীর জলের ধারায় ক্ষুদ্রতাও মরে, ঠিক তেমন মুছিয়ে দেয়  
লোভের অন্ধকার ধুলো, চোখে আঘাত করে সাম্যের সৌন্দর্য  

নির্যাতনের বুকে, সে প্রেমের শক্তি ছড়িয়ে দেয় তরঙ্গ  
নির্দলিতের কণ্ঠে ঢেউ তোলে, মানবমুক্তির প্রাচীর অক্ষত  
কোণের কোণে যৌবনের সোপান গড়ে, লালন করে ন্যায়বিচার  

ক্লান্ত দিনের শেষে, ন্যায়বিচার শীতল হাওয়ার স্পর্শ  
ঝড়ের ভয় মুছে দিয়ে, নবজীবন ঢেলে দেয় ধৈর্য  
এক ফোঁটা সৌভাগ্য ভাসে লালে, রচনা করে মানব-অভিলাষ  

পীড়িতের বিষাদবাহী চোখে, সে বুনে আশার দীপশিখা  
দলিতের পায়ের ছোপে, মর্যাদার বিনিময়মূল্য অস্বীকার  
গণতন্ত্রের মঞ্চে, ন্যায়বিচার হয়ে গায় একাত্মতার সুর  

কালো সাদা নয়, ন্যায়বিচারে ফুটে নূতন রং  
রক্তাক্ত স্মৃতির শিকল ভেঙে, মুক্তির ধ্বনি ওঠে অনবরত  
অন্তরে অন্ধকার ভেঙে, স্বপ্নের বাহন জেগে ওঠে  

কষ্টের মাঠে থাকা ফুলের মতো, ন্যায়বিচার লালিমা নিয়ে মাথা তোলে  
অনুচিতের ছোঁয়ায় ঝরে বিষাদ, জীবন মা বোনে শিশিরতারা  
বঞ্চিতের হাসির মাঝে, সে গায় একতা-সংযমের ঠিকানা  

অপরাধী মাতালতা ছেড়ে, ন্যায়বিচার ছড়ায় শুদ্ধ সুবাস  
অজ্ঞানের ধোঁয়া ছাঁটাই করে, বুদ্ধির অরণ্য গড়ে তোলে পথ  
সংবিধানের পথে সে আঁকে বিমুখ দৃষ্টিতে স্বপ্নের রেখা  

ন্যায়বিচার এক অমোঘ ঋতু, বয়ে আনে মানবতার স্বর্গলোক  
কৃপণতার শেকড় কেটে ফেলে, উদারতার ডালে ফল গেঁথে রাখে  
অকারণে বেড়ে যাওয়া বেদনা মুছে, জনমানসে তৈরি করে আলো  

প্রতিটি প্রাণের কাছে, ন্যায়বিচার কৃষ্ণচূড়ার অনুরণন  
স্পর্শে স্নিগ্ধ, চেতনাকে জাগিয়ে, বেঁচে থাকার মানে লেখে  
এই কবিতার শেষে, স্বপ্নের পথে উড়ে যায় ন্যায়ের ধ্বজা উজ্জ্বল
